task,n,idf_exponent,dim,normalize,position_weight,denominator,eval_sec,map,ndcg@10,ndcg@5,mrr,hit@1,hit@10,recall@10,p@10,rprec
typo_brutal,"(1,)",1.0,1.0,False,0.0,dice,12.13,0.02225,0.02354,0.01832,0.02225,0.008,0.044,0.044,0.0044,0.008
typo_brutal,"(1,)",1.0,1.0,False,0.5,dice,12.34,0.05132,0.05602,0.04716,0.05132,0.024,0.096,0.096,0.0096,0.024
typo_brutal,"(1,)",1.0,1.0,False,1.0,dice,12.21,0.06625,0.07947,0.061,0.06625,0.032,0.148,0.148,0.0148,0.032
typo_brutal,"(1,)",1.0,1.0,True,0.0,dice,12.36,0.09239,0.11239,0.09308,0.09239,0.04,0.208,0.208,0.0208,0.04
typo_brutal,"(1,)",1.0,1.0,True,0.5,dice,12.35,0.15098,0.17872,0.15863,0.15098,0.076,0.296,0.296,0.0296,0.076
typo_brutal,"(1,)",1.0,1.0,True,1.0,dice,12.21,0.21254,0.24356,0.21106,0.21254,0.136,0.372,0.372,0.0372,0.136
typo_brutal,"(1,)",1.0,1.0,True,0.0,geo,12.27,0.09853,0.1179,0.09995,0.09853,0.044,0.212,0.212,0.0212,0.044
typo_brutal,"(1,)",1.0,1.0,True,0.5,geo,12.27,0.16613,0.19334,0.16209,0.16613,0.096,0.312,0.312,0.0312,0.096
typo_brutal,"(1,)",1.0,1.0,True,1.0,geo,12.54,0.22683,0.25556,0.23021,0.22683,0.152,0.376,0.376,0.0376,0.152
typo_brutal,"(1,)",2.0,1.0,False,0.0,dice,12.27,0.02246,0.02461,0.02059,0.02246,0.012,0.04,0.04,0.004,0.012
typo_brutal,"(1,)",2.0,1.0,False,0.5,dice,11.34,0.03508,0.03794,0.03157,0.03508,0.02,0.06,0.06,0.006,0.02
typo_brutal,"(1,)",2.0,1.0,False,1.0,dice,11.12,0.03774,0.04385,0.03632,0.03774,0.02,0.076,0.076,0.0076,0.02
typo_brutal,"(1,)",2.0,1.0,True,0.0,dice,11.25,0.05115,0.0564,0.04982,0.05115,0.028,0.088,0.088,0.0088,0.028
typo_brutal,"(1,)",2.0,1.0,True,0.5,dice,10.98,0.07768,0.08441,0.07269,0.07768,0.052,0.124,0.124,0.0124,0.052
typo_brutal,"(1,)",2.0,1.0,True,1.0,dice,11.41,0.09602,0.10301,0.09358,0.09602,0.068,0.144,0.144,0.0144,0.068
typo_brutal,"(1,)",2.0,1.0,True,0.0,geo,11.15,0.05294,0.0572,0.05077,0.05294,0.032,0.088,0.088,0.0088,0.032
typo_brutal,"(1,)",2.0,1.0,True,0.5,geo,13.15,0.08058,0.08829,0.07786,0.08058,0.052,0.132,0.132,0.0132,0.052
typo_brutal,"(1,)",2.0,1.0,True,1.0,geo,13.27,0.09774,0.10589,0.09681,0.09774,0.068,0.152,0.152,0.0152,0.068
typo_brutal,"(1,)",3.0,1.0,False,0.0,dice,12.82,0.02163,0.02424,0.02059,0.02163,0.012,0.04,0.04,0.004,0.012
typo_brutal,"(1,)",3.0,1.0,False,0.5,dice,13.06,0.02839,0.03264,0.02609,0.02839,0.012,0.056,0.056,0.0056,0.012
typo_brutal,"(1,)",3.0,1.0,False,1.0,dice,12.84,0.03004,0.03344,0.03084,0.03004,0.012,0.056,0.056,0.0056,0.012
typo_brutal,"(1,)",3.0,1.0,True,0.0,dice,12.79,0.04466,0.05007,0.04622,0.04466,0.028,0.076,0.076,0.0076,0.028
typo_brutal,"(1,)",3.0,1.0,True,0.5,dice,12.11,0.06068,0.06683,0.06189,0.06068,0.04,0.096,0.096,0.0096,0.04
typo_brutal,"(1,)",3.0,1.0,True,1.0,dice,12.9,0.05681,0.06656,0.05768,0.05681,0.032,0.108,0.108,0.0108,0.032
typo_brutal,"(1,)",3.0,1.0,True,0.0,geo,12.92,0.04468,0.05001,0.04622,0.04468,0.028,0.076,0.076,0.0076,0.028
typo_brutal,"(1,)",3.0,1.0,True,0.5,geo,12.59,0.06124,0.06706,0.06344,0.06124,0.04,0.096,0.096,0.0096,0.04
typo_brutal,"(1,)",3.0,1.0,True,1.0,geo,12.64,0.05762,0.06678,0.05751,0.05762,0.032,0.108,0.108,0.0108,0.032
typo_brutal,"(1,)",4.0,1.0,False,0.0,dice,12.22,0.01904,0.02116,0.01867,0.01904,0.008,0.036,0.036,0.0036,0.008
typo_brutal,"(1,)",4.0,1.0,False,0.5,dice,11.51,0.02457,0.0269,0.02422,0.02457,0.012,0.044,0.044,0.0044,0.012
typo_brutal,"(1,)",4.0,1.0,False,1.0,dice,11.02,0.02351,0.02804,0.02306,0.02351,0.012,0.052,0.052,0.0052,0.012
typo_brutal,"(1,)",4.0,1.0,True,0.0,dice,11.09,0.04329,0.04838,0.04449,0.04329,0.028,0.072,0.072,0.0072,0.028
typo_brutal,"(1,)",4.0,1.0,True,0.5,dice,10.1,0.04137,0.05147,0.04004,0.04137,0.024,0.092,0.092,0.0092,0.024
typo_brutal,"(1,)",4.0,1.0,True,1.0,dice,10.63,0.03234,0.03716,0.03333,0.03234,0.012,0.064,0.064,0.0064,0.012
typo_brutal,"(1,)",4.0,1.0,True,0.0,geo,11.36,0.04342,0.04838,0.04449,0.04342,0.028,0.072,0.072,0.0072,0.028
typo_brutal,"(1,)",4.0,1.0,True,0.5,geo,12.49,0.04314,0.0538,0.03979,0.04314,0.028,0.096,0.096,0.0096,0.028
typo_brutal,"(1,)",4.0,1.0,True,1.0,geo,12.13,0.03306,0.03771,0.03389,0.03306,0.012,0.064,0.064,0.0064,0.012
typo_brutal,"(2,)",0.0,1.0,False,0.0,dice,0.25,0.14196,0.15786,0.13835,0.14196,0.096,0.236,0.236,0.0236,0.096
typo_brutal,"(2,)",0.0,1.0,False,0.5,dice,0.25,0.15913,0.18996,0.16782,0.15913,0.092,0.312,0.312,0.0312,0.092
typo_brutal,"(2,)",0.0,1.0,False,1.0,dice,0.29,0.15962,0.19042,0.17091,0.15962,0.092,0.312,0.312,0.0312,0.092
typo_brutal,"(2,)",0.0,1.0,True,0.0,dice,0.36,0.15565,0.17833,0.16155,0.15565,0.088,0.28,0.28,0.028,0.088
typo_brutal,"(2,)",0.0,1.0,True,0.5,dice,0.39,0.16783,0.19069,0.17417,0.16783,0.104,0.296,0.296,0.0296,0.104
typo_brutal,"(2,)",0.0,1.0,True,1.0,dice,0.32,0.17204,0.20321,0.17682,0.17204,0.104,0.332,0.332,0.0332,0.104
typo_brutal,"(2,)",0.0,1.0,True,0.0,geo,0.41,0.14569,0.16725,0.14646,0.14569,0.084,0.268,0.268,0.0268,0.084
typo_brutal,"(2,)",0.0,1.0,True,0.5,geo,0.33,0.15662,0.18354,0.16322,0.15662,0.092,0.3,0.3,0.03,0.092
typo_brutal,"(2,)",0.0,1.0,True,1.0,geo,0.37,0.16583,0.1931,0.1715,0.16583,0.1,0.312,0.312,0.0312,0.1
typo_brutal,"(2,)",0.5,1.0,False,0.0,dice,0.25,0.13706,0.15961,0.13622,0.13706,0.084,0.256,0.256,0.0256,0.084
typo_brutal,"(2,)",0.5,1.0,False,0.5,dice,0.27,0.1523,0.17419,0.15998,0.1523,0.088,0.272,0.272,0.0272,0.088
typo_brutal,"(2,)",0.5,1.0,False,1.0,dice,0.27,0.16196,0.18975,0.17,0.16196,0.092,0.304,0.304,0.0304,0.092
typo_brutal,"(2,)",0.5,1.0,True,0.0,dice,0.36,0.15359,0.18027,0.15902,0.15359,0.092,0.296,0.296,0.0296,0.092
typo_brutal,"(2,)",0.5,1.0,True,0.5,dice,0.34,0.16364,0.19174,0.16783,0.16364,0.096,0.312,0.312,0.0312,0.096
typo_brutal,"(2,)",0.5,1.0,True,1.0,dice,0.33,0.18025,0.20824,0.18295,0.18025,0.112,0.328,0.328,0.0328,0.112
typo_brutal,"(2,)",0.5,1.0,True,0.0,geo,0.44,0.14248,0.17104,0.14288,0.14248,0.076,0.292,0.292,0.0292,0.076
typo_brutal,"(2,)",0.5,1.0,True,0.5,geo,0.38,0.15614,0.18627,0.16118,0.15614,0.088,0.312,0.312,0.0312,0.088
typo_brutal,"(2,)",0.5,1.0,True,1.0,geo,0.36,0.16758,0.19674,0.17285,0.16758,0.096,0.32,0.32,0.032,0.096
typo_brutal,"(2,)",1.0,1.0,False,0.0,dice,0.28,0.12388,0.14451,0.12238,0.12388,0.08,0.236,0.236,0.0236,0.08
typo_brutal,"(2,)",1.0,1.0,False,0.5,dice,0.25,0.14642,0.16644,0.14968,0.14642,0.1,0.256,0.256,0.0256,0.1
typo_brutal,"(2,)",1.0,1.0,False,1.0,dice,0.26,0.15345,0.17431,0.15927,0.15345,0.104,0.268,0.268,0.0268,0.104
typo_brutal,"(2,)",1.0,1.0,True,0.0,dice,0.28,0.13766,0.15446,0.13544,0.13766,0.08,0.244,0.244,0.0244,0.08
typo_brutal,"(2,)",1.0,1.0,True,0.5,dice,0.32,0.14911,0.17338,0.14376,0.14911,0.092,0.284,0.284,0.0284,0.092
typo_brutal,"(2,)",1.0,1.0,True,1.0,dice,0.33,0.15661,0.18064,0.15458,0.15661,0.096,0.292,0.292,0.0292,0.096
typo_brutal,"(2,)",1.0,1.0,True,0.0,geo,0.34,0.12123,0.14446,0.11786,0.12123,0.06,0.252,0.252,0.0252,0.06
typo_brutal,"(2,)",1.0,1.0,True,0.5,geo,0.38,0.13412,0.15989,0.12909,0.13412,0.072,0.276,0.276,0.0276,0.072
typo_brutal,"(2,)",1.0,1.0,True,1.0,geo,0.39,0.1424,0.16866,0.14018,0.1424,0.076,0.288,0.288,0.0288,0.076
typo_brutal,"(2,)",2.0,1.0,False,0.0,dice,0.26,0.05789,0.06592,0.05544,0.05789,0.024,0.116,0.116,0.0116,0.024
typo_brutal,"(2,)",2.0,1.0,False,0.5,dice,0.24,0.06768,0.07404,0.06339,0.06768,0.032,0.12,0.12,0.012,0.032
typo_brutal,"(2,)",2.0,1.0,False,1.0,dice,0.24,0.07311,0.08515,0.06841,0.07311,0.032,0.148,0.148,0.0148,0.032
typo_brutal,"(2,)",2.0,1.0,True,0.0,dice,0.34,0.0677,0.07768,0.06118,0.0677,0.028,0.136,0.136,0.0136,0.028
typo_brutal,"(2,)",2.0,1.0,True,0.5,dice,0.31,0.07496,0.08931,0.0723,0.07496,0.028,0.16,0.16,0.016,0.028
typo_brutal,"(2,)",2.0,1.0,True,1.0,dice,0.39,0.0873,0.0992,0.08463,0.0873,0.044,0.164,0.164,0.0164,0.044
typo_brutal,"(2,)",2.0,1.0,True,0.0,geo,0.54,0.06902,0.08396,0.06587,0.06902,0.032,0.156,0.156,0.0156,0.032
typo_brutal,"(2,)",2.0,1.0,True,0.5,geo,0.54,0.08334,0.09517,0.0798,0.08334,0.048,0.16,0.16,0.016,0.048
typo_brutal,"(2,)",2.0,1.0,True,1.0,geo,0.43,0.0866,0.09926,0.08245,0.0866,0.044,0.168,0.168,0.0168,0.044
