task,n,idf_exponent,dim,normalize,position_weight,denominator,eval_sec,map,ndcg@10,ndcg@5,mrr,hit@1,hit@10,recall@10,p@10,rprec
abtbuy,"(1, 2, 3)",2.0,3.0,False,0.0,dice,10.37,0.92204,0.94171,0.93181,0.92454,0.88,1.0,1.0,0.104,0.875
abtbuy,"(1, 2, 3)",2.0,3.0,False,0.25,dice,14.75,0.92154,0.94144,0.93154,0.92454,0.88,1.0,1.0,0.104,0.875
abtbuy,"(1, 2, 3)",2.0,3.0,False,0.5,dice,12.87,0.91591,0.9343,0.92785,0.91891,0.87,0.99,0.99,0.103,0.865
abtbuy,"(1, 2, 3)",2.0,3.0,False,0.75,dice,12.62,0.91591,0.9343,0.92785,0.91891,0.87,0.99,0.99,0.103,0.865
abtbuy,"(1, 2, 3)",2.0,3.0,False,1.0,dice,13.51,0.92091,0.93799,0.93154,0.92391,0.88,0.99,0.99,0.103,0.875
abtbuy,"(1, 2, 3)",3.0,0.5,False,0.0,dice,15.81,0.95333,0.96557,0.96201,0.95583,0.93,1.0,1.0,0.104,0.925
abtbuy,"(1, 2, 3)",3.0,0.5,False,0.25,dice,17.63,0.95167,0.96426,0.9607,0.95417,0.93,1.0,1.0,0.104,0.925
abtbuy,"(1, 2, 3)",3.0,0.5,False,0.5,dice,17.5,0.95117,0.96382,0.96026,0.95367,0.93,1.0,1.0,0.104,0.925
abtbuy,"(1, 2, 3)",3.0,0.5,False,0.75,dice,15.2,0.95117,0.96382,0.96026,0.95367,0.93,1.0,1.0,0.104,0.925
abtbuy,"(1, 2, 3)",3.0,0.5,False,1.0,dice,14.89,0.94117,0.95644,0.95288,0.94367,0.91,1.0,1.0,0.104,0.905
abtbuy,"(1, 2, 3)",3.0,1.0,False,0.0,dice,17.23,0.95,0.96319,0.95963,0.9525,0.92,1.0,1.0,0.104,0.915
abtbuy,"(1, 2, 3)",3.0,1.0,False,0.25,dice,12.71,0.95,0.96319,0.95963,0.9525,0.92,1.0,1.0,0.104,0.915
abtbuy,"(1, 2, 3)",3.0,1.0,False,0.5,dice,12.36,0.94617,0.96013,0.95657,0.94867,0.92,1.0,1.0,0.104,0.915
