task,n,idf_exponent,dim,normalize,build_sec,eval_sec,map,ndcg@10,mrr,hit@1,recall@10
abtbuy,"(1, 3)",0.5,1.0,False,0.24,11.55,0.78066,0.82027,0.78837,0.7,0.945
abtbuy,"(1, 3)",0.5,1.0,True,0.24,11.46,0.82178,0.84148,0.8331,0.8,0.91
abtbuy,"(1, 3)",0.5,2.0,False,0.24,11.53,0.79991,0.83851,0.80714,0.71,0.955
abtbuy,"(1, 3)",0.5,2.0,True,0.24,11.49,0.80137,0.821,0.8144,0.78,0.88
abtbuy,"(1, 3)",0.5,3.0,False,0.24,11.44,0.80869,0.84529,0.81511,0.72,0.955
abtbuy,"(1, 3)",0.5,3.0,True,0.24,11.03,0.76407,0.78316,0.77549,0.74,0.845
abtbuy,"(1, 3)",1.0,0.5,False,0.21,10.86,0.84704,0.87704,0.85093,0.77,0.97
abtbuy,"(1, 3)",1.0,0.5,True,0.21,10.85,0.84519,0.86714,0.85491,0.81,0.94
abtbuy,"(1, 3)",1.0,1.0,False,0.21,12.66,0.8508,0.88258,0.85438,0.77,0.98
abtbuy,"(1, 3)",1.0,1.0,True,0.21,11.71,0.83673,0.85111,0.84747,0.81,0.905
abtbuy,"(1, 3)",1.0,2.0,False,0.21,10.95,0.86309,0.89164,0.86642,0.79,0.98
abtbuy,"(1, 3)",1.0,2.0,True,0.21,11.95,0.79278,0.81328,0.80618,0.76,0.875
abtbuy,"(1, 3)",1.0,3.0,False,0.21,12.25,0.86809,0.89533,0.87142,0.8,0.98
abtbuy,"(1, 3)",1.0,3.0,True,0.21,12.16,0.75712,0.77856,0.7688,0.72,0.845
abtbuy,"(1, 3)",2.0,0.5,False,0.49,13.54,0.89817,0.91776,0.90117,0.85,0.98
abtbuy,"(1, 3)",2.0,0.5,True,0.49,14.45,0.81567,0.8475,0.8245,0.77,0.95
abtbuy,"(1, 3)",2.0,1.0,False,0.49,14.48,0.91067,0.93038,0.91367,0.86,0.99
abtbuy,"(1, 3)",2.0,1.0,True,0.49,13.82,0.79245,0.81266,0.80438,0.76,0.88
abtbuy,"(1, 3)",2.0,2.0,False,0.49,13.61,0.90567,0.92669,0.90867,0.85,0.99
abtbuy,"(1, 3)",2.0,2.0,True,0.49,14.6,0.71212,0.73159,0.72567,0.68,0.795
abtbuy,"(1, 3)",2.0,3.0,False,0.49,13.24,0.89817,0.921,0.90117,0.84,0.99
abtbuy,"(1, 3)",2.0,3.0,True,0.49,12.73,0.65666,0.68456,0.66872,0.61,0.775
abtbuy,"(1, 3)",3.0,0.5,False,0.29,13.37,0.92674,0.94244,0.92924,0.89,0.99
abtbuy,"(1, 3)",3.0,0.5,True,0.29,13.85,0.77905,0.79805,0.78852,0.75,0.87
abtbuy,"(1, 3)",3.0,1.0,False,0.29,13.74,0.90978,0.93268,0.91228,0.86,1.0
abtbuy,"(1, 3)",3.0,1.0,True,0.29,12.68,0.71451,0.73024,0.72718,0.69,0.79
abtbuy,"(1, 3)",3.0,2.0,False,0.29,15.11,0.9101,0.93301,0.9126,0.86,1.0
abtbuy,"(1, 3)",3.0,2.0,True,0.29,12.37,0.62399,0.64479,0.63385,0.57,0.715
abtbuy,"(1, 3)",3.0,3.0,False,0.29,10.29,0.9101,0.93301,0.9126,0.86,1.0
abtbuy,"(1, 3)",3.0,3.0,True,0.29,10.38,0.55724,0.59165,0.56528,0.49,0.705
abtbuy,"(2, 3)",0.0,0.5,False,0.22,0.81,0.72488,0.77596,0.73668,0.64,0.935
abtbuy,"(2, 3)",0.0,0.5,True,0.22,0.76,0.78713,0.82164,0.79704,0.71,0.93
abtbuy,"(2, 3)",0.0,1.0,False,0.22,0.75,0.71996,0.76664,0.73176,0.64,0.915
abtbuy,"(2, 3)",0.0,1.0,True,0.22,0.77,0.78693,0.82146,0.79682,0.71,0.93
abtbuy,"(2, 3)",0.0,2.0,False,0.22,0.74,0.71292,0.75242,0.72527,0.64,0.885
abtbuy,"(2, 3)",0.0,2.0,True,0.22,0.77,0.78166,0.81469,0.79148,0.7,0.92
abtbuy,"(2, 3)",0.0,3.0,False,0.22,0.73,0.70776,0.7435,0.71955,0.64,0.865
abtbuy,"(2, 3)",0.0,3.0,True,0.22,0.76,0.7753,0.81001,0.78459,0.69,0.92
abtbuy,"(2, 3)",0.5,0.5,False,0.27,0.8,0.80034,0.83884,0.80822,0.71,0.955
abtbuy,"(2, 3)",0.5,0.5,True,0.27,0.78,0.8295,0.85431,0.84025,0.78,0.935
abtbuy,"(2, 3)",0.5,1.0,False,0.27,0.8,0.80025,0.83884,0.80813,0.71,0.955
abtbuy,"(2, 3)",0.5,1.0,True,0.27,0.8,0.83,0.85475,0.84075,0.78,0.935
abtbuy,"(2, 3)",0.5,2.0,False,0.27,0.72,0.80661,0.84384,0.81452,0.72,0.955
abtbuy,"(2, 3)",0.5,2.0,True,0.27,0.78,0.83065,0.85528,0.84126,0.78,0.935
abtbuy,"(2, 3)",0.5,3.0,False,0.27,0.78,0.80557,0.84315,0.81352,0.72,0.955
abtbuy,"(2, 3)",0.5,3.0,True,0.27,0.79,0.82795,0.85001,0.83607,0.77,0.925
abtbuy,"(2, 3)",1.0,0.5,False,0.26,0.76,0.85265,0.88409,0.8564,0.77,0.98
abtbuy,"(2, 3)",1.0,0.5,True,0.26,0.79,0.87011,0.89641,0.87844,0.84,0.98
abtbuy,"(2, 3)",1.0,1.0,False,0.26,0.75,0.85258,0.88409,0.85633,0.77,0.98
abtbuy,"(2, 3)",1.0,1.0,True,0.26,0.74,0.8698,0.89637,0.87897,0.84,0.98
abtbuy,"(2, 3)",1.0,2.0,False,0.26,0.82,0.85725,0.88746,0.86114,0.78,0.98
abtbuy,"(2, 3)",1.0,2.0,True,0.26,0.77,0.86958,0.89613,0.87875,0.84,0.98
abtbuy,"(2, 3)",1.0,3.0,False,0.26,0.76,0.85537,0.88607,0.85926,0.78,0.98
abtbuy,"(2, 3)",1.0,3.0,True,0.26,0.79,0.86455,0.88955,0.87372,0.83,0.97
abtbuy,"(2, 3)",2.0,0.5,False,0.29,0.77,0.90758,0.92799,0.91058,0.86,0.99
abtbuy,"(2, 3)",2.0,0.5,True,0.29,0.83,0.88536,0.91422,0.89253,0.85,1.0
abtbuy,"(2, 3)",2.0,1.0,False,0.29,0.83,0.91424,0.93299,0.91724,0.87,0.99
abtbuy,"(2, 3)",2.0,1.0,True,0.29,0.82,0.89025,0.91779,0.89742,0.86,1.0
abtbuy,"(2, 3)",2.0,2.0,False,0.29,0.81,0.91591,0.9343,0.91891,0.87,0.99
abtbuy,"(2, 3)",2.0,2.0,True,0.29,0.79,0.88478,0.9137,0.89194,0.85,1.0
abtbuy,"(2, 3)",2.0,3.0,False,0.29,0.8,0.92091,0.93799,0.92391,0.88,0.99
abtbuy,"(2, 3)",2.0,3.0,True,0.29,0.85,0.88431,0.91044,0.89148,0.85,0.99
abtbuy,"(2, 3)",3.0,0.5,False,0.23,0.77,0.94617,0.96013,0.94867,0.92,1.0
abtbuy,"(2, 3)",3.0,0.5,True,0.23,0.8,0.90692,0.93064,0.91242,0.87,1.0
abtbuy,"(2, 3)",3.0,1.0,False,0.23,0.8,0.94117,0.95644,0.94367,0.91,1.0
abtbuy,"(2, 3)",3.0,1.0,True,0.23,0.81,0.90678,0.9305,0.91228,0.87,1.0
abtbuy,"(2, 3)",3.0,2.0,False,0.23,0.76,0.917,0.93837,0.9195,0.87,1.0
abtbuy,"(2, 3)",3.0,2.0,True,0.23,0.83,0.89851,0.92424,0.90401,0.86,1.0
abtbuy,"(2, 3)",3.0,3.0,False,0.23,0.8,0.91817,0.93924,0.92067,0.87,1.0
abtbuy,"(2, 3)",3.0,3.0,True,0.23,0.83,0.89612,0.91946,0.90162,0.86,0.99
abtbuy,"(2, 4)",0.0,0.5,False,0.25,0.71,0.73737,0.78837,0.75112,0.65,0.945
abtbuy,"(2, 4)",0.0,0.5,True,0.25,0.69,0.79354,0.82623,0.80211,0.72,0.93
abtbuy,"(2, 4)",0.0,1.0,False,0.25,0.69,0.72385,0.77762,0.73566,0.64,0.945
abtbuy,"(2, 4)",0.0,1.0,True,0.25,0.67,0.7894,0.82292,0.79791,0.72,0.93
abtbuy,"(2, 4)",0.0,2.0,False,0.25,0.7,0.70857,0.74693,0.72114,0.63,0.875
abtbuy,"(2, 4)",0.0,2.0,True,0.25,0.69,0.77611,0.81015,0.78461,0.7,0.92
abtbuy,"(2, 4)",0.0,3.0,False,0.25,0.7,0.69414,0.72803,0.70604,0.62,0.845
abtbuy,"(2, 4)",0.0,3.0,True,0.25,0.75,0.77871,0.81238,0.78722,0.7,0.92
abtbuy,"(2, 4)",0.5,0.5,False,0.34,0.75,0.81045,0.84888,0.81798,0.72,0.965
abtbuy,"(2, 4)",0.5,0.5,True,0.34,0.78,0.83258,0.85621,0.83991,0.78,0.935
abtbuy,"(2, 4)",0.5,1.0,False,0.34,0.75,0.81503,0.84942,0.82255,0.73,0.955
abtbuy,"(2, 4)",0.5,1.0,True,0.34,0.79,0.83056,0.85496,0.83795,0.77,0.935
abtbuy,"(2, 4)",0.5,2.0,False,0.34,0.73,0.80318,0.84092,0.8111,0.72,0.955
abtbuy,"(2, 4)",0.5,2.0,True,0.34,0.74,0.82821,0.85291,0.83542,0.77,0.935
abtbuy,"(2, 4)",0.5,3.0,False,0.34,0.73,0.79768,0.83665,0.80566,0.72,0.955
abtbuy,"(2, 4)",0.5,3.0,True,0.34,0.75,0.82314,0.84663,0.83092,0.76,0.925
abtbuy,"(2, 4)",1.0,0.5,False,0.41,0.77,0.85026,0.87951,0.85426,0.77,0.97
abtbuy,"(2, 4)",1.0,0.5,True,0.41,0.7,0.86545,0.88765,0.87378,0.83,0.96
abtbuy,"(2, 4)",1.0,1.0,False,0.41,0.72,0.85026,0.87951,0.85426,0.77,0.97
abtbuy,"(2, 4)",1.0,1.0,True,0.41,0.75,0.85981,0.88331,0.86814,0.82,0.96
abtbuy,"(2, 4)",1.0,2.0,False,0.41,0.73,0.84509,0.87455,0.85093,0.76,0.965
abtbuy,"(2, 4)",1.0,2.0,True,0.41,0.79,0.85929,0.88274,0.86763,0.82,0.96
abtbuy,"(2, 4)",1.0,3.0,False,0.41,0.8,0.8399,0.87086,0.84573,0.75,0.965
abtbuy,"(2, 4)",1.0,3.0,True,0.41,0.78,0.85822,0.88492,0.86738,0.82,0.97
abtbuy,"(2, 4)",2.0,0.5,False,0.38,0.79,0.90092,0.92326,0.90392,0.84,0.99
abtbuy,"(2, 4)",2.0,0.5,True,0.38,0.77,0.88187,0.91189,0.88904,0.84,1.0
abtbuy,"(2, 4)",2.0,1.0,False,0.38,0.83,0.88396,0.91014,0.88696,0.82,0.99
abtbuy,"(2, 4)",2.0,1.0,True,0.38,0.79,0.88396,0.91312,0.89112,0.85,1.0
abtbuy,"(2, 4)",2.0,2.0,False,0.38,0.83,0.85515,0.88599,0.85848,0.77,0.98
abtbuy,"(2, 4)",2.0,2.0,True,0.38,0.77,0.892,0.91593,0.89917,0.87,0.99
abtbuy,"(2, 4)",2.0,3.0,False,0.38,0.81,0.85348,0.88468,0.85682,0.77,0.98
abtbuy,"(2, 4)",2.0,3.0,True,0.38,0.82,0.89026,0.91462,0.89743,0.87,0.99
abtbuy,"(2, 4)",3.0,0.5,False,0.41,0.8,0.89335,0.91434,0.89585,0.83,0.98
abtbuy,"(2, 4)",3.0,0.5,True,0.41,0.79,0.89886,0.92452,0.90352,0.86,1.0
abtbuy,"(2, 4)",3.0,1.0,False,0.41,0.79,0.87877,0.90627,0.88177,0.81,0.99
abtbuy,"(2, 4)",3.0,1.0,True,0.41,0.8,0.89894,0.92469,0.90444,0.86,1.0
abtbuy,"(2, 4)",3.0,2.0,False,0.41,0.76,0.86159,0.88767,0.86459,0.79,0.97
abtbuy,"(2, 4)",3.0,2.0,True,0.41,0.81,0.90568,0.9265,0.91118,0.88,0.99
abtbuy,"(2, 4)",3.0,3.0,False,0.41,0.76,0.85993,0.88628,0.86293,0.79,0.97
abtbuy,"(2, 4)",3.0,3.0,True,0.41,0.81,0.90485,0.92592,0.91035,0.88,0.99
abtbuy,"(3, 4)",0.0,0.5,False,0.31,0.28,0.76283,0.81118,0.77557,0.67,0.955
abtbuy,"(3, 4)",0.0,0.5,True,0.31,0.3,0.79525,0.82223,0.80632,0.73,0.91
abtbuy,"(3, 4)",0.0,1.0,False,0.31,0.26,0.7628,0.81118,0.77554,0.67,0.955
abtbuy,"(3, 4)",0.0,1.0,True,0.31,0.27,0.7952,0.82223,0.80627,0.73,0.91
abtbuy,"(3, 4)",0.0,2.0,False,0.31,0.3,0.7628,0.81125,0.77572,0.67,0.955
abtbuy,"(3, 4)",0.0,2.0,True,0.31,0.26,0.79566,0.82262,0.80673,0.73,0.91
abtbuy,"(3, 4)",0.0,3.0,False,0.31,0.3,0.76387,0.81222,0.77678,0.67,0.955
abtbuy,"(3, 4)",0.0,3.0,True,0.31,0.31,0.79503,0.82493,0.8061,0.73,0.92
abtbuy,"(3, 4)",0.5,0.5,False,0.51,0.35,0.82139,0.8569,0.82839,0.74,0.965
abtbuy,"(3, 4)",0.5,0.5,True,0.51,0.35,0.82308,0.85021,0.8314,0.76,0.94
abtbuy,"(3, 4)",0.5,1.0,False,0.51,0.3,0.82636,0.8606,0.83339,0.75,0.965
abtbuy,"(3, 4)",0.5,1.0,True,0.51,0.35,0.82308,0.85021,0.8314,0.76,0.94
abtbuy,"(3, 4)",0.5,2.0,False,0.51,0.32,0.82741,0.86142,0.83439,0.75,0.965
abtbuy,"(3, 4)",0.5,2.0,True,0.51,0.26,0.82318,0.85038,0.83158,0.76,0.94
abtbuy,"(3, 4)",0.5,3.0,False,0.51,0.34,0.82432,0.85925,0.83132,0.74,0.965
abtbuy,"(3, 4)",0.5,3.0,True,0.51,0.35,0.82319,0.85038,0.83159,0.76,0.94
abtbuy,"(3, 4)",1.0,0.5,False,0.51,0.33,0.84398,0.87466,0.84731,0.76,0.97
abtbuy,"(3, 4)",1.0,0.5,True,0.51,0.34,0.8543,0.87917,0.8593,0.8,0.96
abtbuy,"(3, 4)",1.0,1.0,False,0.51,0.34,0.84898,0.87835,0.85231,0.77,0.97
abtbuy,"(3, 4)",1.0,1.0,True,0.51,0.35,0.8543,0.87917,0.8593,0.8,0.96
abtbuy,"(3, 4)",1.0,2.0,False,0.51,0.31,0.84986,0.87905,0.8532,0.77,0.97
abtbuy,"(3, 4)",1.0,2.0,True,0.51,0.33,0.85347,0.87842,0.85847,0.8,0.96
abtbuy,"(3, 4)",1.0,3.0,False,0.51,0.36,0.84486,0.87536,0.8482,0.76,0.97
abtbuy,"(3, 4)",1.0,3.0,True,0.51,0.31,0.85789,0.88148,0.86289,0.81,0.96
abtbuy,"(3, 4)",2.0,0.5,False,0.5,0.34,0.86548,0.89356,0.86848,0.79,0.98
abtbuy,"(3, 4)",2.0,0.5,True,0.5,0.34,0.88622,0.91474,0.89122,0.84,1.0
abtbuy,"(3, 4)",2.0,1.0,False,0.5,0.35,0.86548,0.89356,0.86848,0.79,0.98
abtbuy,"(3, 4)",2.0,1.0,True,0.5,0.35,0.88622,0.91474,0.89122,0.84,1.0
abtbuy,"(3, 4)",2.0,2.0,False,0.5,0.33,0.86548,0.89356,0.86848,0.79,0.98
abtbuy,"(3, 4)",2.0,2.0,True,0.5,0.35,0.88906,0.91668,0.89406,0.85,1.0
abtbuy,"(3, 4)",2.0,3.0,False,0.5,0.36,0.86548,0.89356,0.86848,0.79,0.98
abtbuy,"(3, 4)",2.0,3.0,True,0.5,0.35,0.88739,0.91537,0.89239,0.85,1.0
abtbuy,"(3, 4)",3.0,0.5,False,0.49,0.34,0.8821,0.90865,0.8851,0.82,0.99
abtbuy,"(3, 4)",3.0,0.5,True,0.49,0.3,0.89518,0.92122,0.89818,0.85,1.0
abtbuy,"(3, 4)",3.0,1.0,False,0.49,0.34,0.8821,0.90865,0.8851,0.82,0.99
abtbuy,"(3, 4)",3.0,1.0,True,0.49,0.32,0.89685,0.92253,0.89985,0.85,1.0
abtbuy,"(3, 4)",3.0,2.0,False,0.49,0.32,0.8721,0.90127,0.8751,0.8,0.99
abtbuy,"(3, 4)",3.0,2.0,True,0.49,0.34,0.8963,0.92245,0.8993,0.84,1.0
abtbuy,"(3, 4)",3.0,3.0,False,0.49,0.3,0.86701,0.89469,0.87001,0.79,0.98
abtbuy,"(3, 4)",3.0,3.0,True,0.49,0.36,0.89654,0.92273,0.89954,0.84,1.0
abtbuy,"(1, 2, 3)",0.0,0.5,False,0.26,11.48,0.65146,0.68715,0.66249,0.56,0.805
abtbuy,"(1, 2, 3)",0.0,0.5,True,0.26,11.59,0.78457,0.81674,0.79399,0.72,0.92
abtbuy,"(1, 2, 3)",0.0,1.0,False,0.26,11.35,0.6282,0.66046,0.63942,0.56,0.77
abtbuy,"(1, 2, 3)",0.0,1.0,True,0.26,11.4,0.77695,0.81111,0.78636,0.72,0.92
abtbuy,"(1, 2, 3)",0.0,2.0,False,0.26,11.67,0.54962,0.57236,0.55757,0.49,0.66
abtbuy,"(1, 2, 3)",0.0,2.0,True,0.26,11.97,0.76333,0.78583,0.77333,0.71,0.86
abtbuy,"(1, 2, 3)",0.0,3.0,False,0.26,12.05,0.47444,0.49027,0.4835,0.43,0.555
abtbuy,"(1, 2, 3)",0.0,3.0,True,0.26,12.02,0.75488,0.77678,0.7653,0.72,0.84
abtbuy,"(1, 2, 3)",0.5,0.5,False,0.26,11.61,0.75592,0.79893,0.76309,0.66,0.935
abtbuy,"(1, 2, 3)",0.5,0.5,True,0.26,12.15,0.83671,0.85704,0.84736,0.8,0.925
abtbuy,"(1, 2, 3)",0.5,1.0,False,0.26,12.06,0.77391,0.81595,0.78361,0.69,0.945
abtbuy,"(1, 2, 3)",0.5,1.0,True,0.26,12.06,0.83579,0.85667,0.84669,0.8,0.925
abtbuy,"(1, 2, 3)",0.5,2.0,False,0.26,12.07,0.79005,0.83089,0.79808,0.71,0.955
