task,n,idf_exponent,dim,normalize,build_sec,eval_sec,map,ndcg@10,mrr,hit@1,recall@10
abtbuy,"(1,)",0.0,1.0,False,0.03,11.52,0.15244,0.16717,0.1558,0.12,0.24
abtbuy,"(1,)",0.0,1.0,True,0.03,11.49,0.59168,0.62128,0.59785,0.53,0.72
abtbuy,"(1,)",0.5,1.0,False,0.05,10.88,0.19536,0.21849,0.19923,0.13,0.33
abtbuy,"(1,)",0.5,1.0,True,0.05,9.75,0.71411,0.7278,0.72267,0.69,0.775
abtbuy,"(1,)",1.0,1.0,False,0.04,9.9,0.24751,0.28327,0.25025,0.15,0.435
abtbuy,"(1,)",1.0,1.0,True,0.04,9.93,0.68096,0.70636,0.68904,0.63,0.785
abtbuy,"(1,)",2.0,1.0,False,0.03,9.65,0.29837,0.34122,0.30163,0.2,0.51
abtbuy,"(1,)",2.0,1.0,True,0.03,8.16,0.55029,0.57904,0.55717,0.49,0.675
abtbuy,"(1,)",3.0,1.0,False,0.03,8.41,0.29901,0.33271,0.30435,0.23,0.47
abtbuy,"(1,)",3.0,1.0,True,0.03,9.01,0.43717,0.47026,0.44289,0.36,0.58
abtbuy,"(2,)",0.0,1.0,False,0.06,0.49,0.67378,0.70849,0.68204,0.6,0.83
abtbuy,"(2,)",0.0,1.0,True,0.06,0.52,0.76985,0.80599,0.77942,0.69,0.92
abtbuy,"(2,)",0.5,1.0,False,0.08,0.52,0.7449,0.78178,0.75366,0.67,0.905
abtbuy,"(2,)",0.5,1.0,True,0.08,0.51,0.84261,0.86136,0.85134,0.8,0.925
abtbuy,"(2,)",1.0,1.0,False,0.08,0.54,0.81307,0.85048,0.81902,0.74,0.965
abtbuy,"(2,)",1.0,1.0,True,0.08,0.47,0.86702,0.89154,0.87661,0.84,0.97
abtbuy,"(2,)",2.0,1.0,False,0.07,0.53,0.87648,0.90532,0.88198,0.81,0.99
abtbuy,"(2,)",2.0,1.0,True,0.07,0.46,0.88267,0.906,0.88817,0.85,0.98
abtbuy,"(2,)",3.0,1.0,False,0.06,0.5,0.8895,0.91848,0.89533,0.83,1.0
abtbuy,"(2,)",3.0,1.0,True,0.06,0.55,0.8956,0.91633,0.9006,0.86,0.98
abtbuy,"(3,)",0.0,1.0,False,0.09,0.17,0.76242,0.81127,0.77617,0.67,0.955
abtbuy,"(3,)",0.0,1.0,True,0.09,0.2,0.78566,0.81771,0.79508,0.71,0.92
abtbuy,"(3,)",0.5,1.0,False,0.14,0.14,0.82384,0.85572,0.82998,0.74,0.955
abtbuy,"(3,)",0.5,1.0,True,0.14,0.2,0.83671,0.86096,0.84699,0.79,0.94
abtbuy,"(3,)",1.0,1.0,False,0.14,0.18,0.86809,0.89533,0.87142,0.8,0.98
abtbuy,"(3,)",1.0,1.0,True,0.14,0.16,0.86043,0.88325,0.86626,0.82,0.96
abtbuy,"(3,)",2.0,1.0,False,0.12,0.14,0.89817,0.921,0.90117,0.84,0.99
abtbuy,"(3,)",2.0,1.0,True,0.12,0.16,0.88748,0.91533,0.89215,0.85,1.0
abtbuy,"(3,)",3.0,1.0,False,0.14,0.16,0.9101,0.93301,0.9126,0.86,1.0
abtbuy,"(3,)",3.0,1.0,True,0.14,0.22,0.90154,0.92642,0.90454,0.85,1.0
abtbuy,"(4,)",0.0,1.0,False,0.16,0.1,0.75875,0.80198,0.76982,0.66,0.935
abtbuy,"(4,)",0.0,1.0,True,0.16,0.08,0.78386,0.81393,0.79573,0.72,0.91
abtbuy,"(4,)",0.5,1.0,False,0.24,0.1,0.79551,0.83753,0.80332,0.7,0.965
abtbuy,"(4,)",0.5,1.0,True,0.24,0.1,0.80049,0.83236,0.81014,0.73,0.935
abtbuy,"(4,)",1.0,1.0,False,0.21,0.13,0.80785,0.84843,0.81352,0.7,0.97
abtbuy,"(4,)",1.0,1.0,True,0.21,0.13,0.81762,0.85173,0.82262,0.74,0.96
abtbuy,"(4,)",2.0,1.0,False,0.23,0.09,0.83121,0.8675,0.83454,0.75,0.98
abtbuy,"(4,)",2.0,1.0,True,0.23,0.13,0.86064,0.8954,0.86564,0.8,1.0
abtbuy,"(4,)",3.0,1.0,False,0.28,0.13,0.84526,0.87515,0.84826,0.77,0.97
abtbuy,"(4,)",3.0,1.0,True,0.28,0.09,0.8516,0.88844,0.8546,0.78,1.0
abtbuy,"(1, 2)",0.0,0.5,False,0.08,9.79,0.52191,0.55001,0.53075,0.47,0.66
abtbuy,"(1, 2)",0.0,0.5,True,0.08,9.87,0.77313,0.79799,0.78297,0.73,0.88
abtbuy,"(1, 2)",0.0,1.0,False,0.08,9.88,0.49957,0.51523,0.50926,0.45,0.59
abtbuy,"(1, 2)",0.0,1.0,True,0.08,10.16,0.76768,0.78348,0.77774,0.73,0.84
abtbuy,"(1, 2)",0.0,2.0,False,0.08,10.02,0.41607,0.44127,0.42574,0.37,0.54
abtbuy,"(1, 2)",0.0,2.0,True,0.08,9.96,0.75891,0.77399,0.76915,0.73,0.82
abtbuy,"(1, 2)",0.0,3.0,False,0.08,10.44,0.35788,0.36897,0.36762,0.33,0.43
abtbuy,"(1, 2)",0.0,3.0,True,0.08,10.14,0.73532,0.75304,0.74365,0.69,0.805
abtbuy,"(1, 2)",0.5,0.5,False,0.12,10.61,0.65754,0.69327,0.66781,0.57,0.815
abtbuy,"(1, 2)",0.5,0.5,True,0.12,11.24,0.82867,0.84649,0.83964,0.81,0.905
abtbuy,"(1, 2)",0.5,1.0,False,0.12,11.42,0.67758,0.71385,0.68764,0.59,0.835
abtbuy,"(1, 2)",0.5,1.0,True,0.12,11.11,0.82793,0.84634,0.83891,0.81,0.905
abtbuy,"(1, 2)",0.5,2.0,False,0.12,10.79,0.72028,0.75022,0.73236,0.66,0.85
abtbuy,"(1, 2)",0.5,2.0,True,0.12,10.66,0.8125,0.83162,0.82467,0.79,0.89
abtbuy,"(1, 2)",0.5,3.0,False,0.12,11.75,0.72881,0.76276,0.73872,0.66,0.875
abtbuy,"(1, 2)",0.5,3.0,True,0.12,10.88,0.78469,0.80916,0.79791,0.76,0.88
abtbuy,"(1, 2)",1.0,0.5,False,0.1,11.46,0.75945,0.79385,0.76826,0.7,0.905
abtbuy,"(1, 2)",1.0,0.5,True,0.1,11.7,0.84576,0.8585,0.85626,0.83,0.905
abtbuy,"(1, 2)",1.0,1.0,False,0.1,11.2,0.79264,0.82937,0.80056,0.73,0.945
abtbuy,"(1, 2)",1.0,1.0,True,0.1,11.52,0.84287,0.85702,0.85378,0.83,0.905
abtbuy,"(1, 2)",1.0,2.0,False,0.1,11.17,0.80409,0.84413,0.81186,0.73,0.965
abtbuy,"(1, 2)",1.0,2.0,True,0.1,11.65,0.81307,0.83187,0.8258,0.79,0.89
abtbuy,"(1, 2)",1.0,3.0,False,0.1,11.76,0.80549,0.84524,0.81316,0.73,0.965
abtbuy,"(1, 2)",1.0,3.0,True,0.1,12.03,0.78147,0.80176,0.79512,0.76,0.865
abtbuy,"(1, 2)",2.0,0.5,False,0.12,11.92,0.86265,0.88506,0.8696,0.81,0.955
abtbuy,"(1, 2)",2.0,0.5,True,0.12,11.83,0.79837,0.82856,0.81201,0.77,0.925
abtbuy,"(1, 2)",2.0,1.0,False,0.12,11.68,0.87343,0.90313,0.87926,0.81,0.99
abtbuy,"(1, 2)",2.0,1.0,True,0.12,11.92,0.77862,0.80167,0.79082,0.75,0.88
abtbuy,"(1, 2)",2.0,2.0,False,0.12,11.52,0.87648,0.90532,0.88198,0.81,0.99
abtbuy,"(1, 2)",2.0,2.0,True,0.12,12.03,0.73071,0.74772,0.74346,0.7,0.805
abtbuy,"(1, 2)",2.0,3.0,False,0.12,11.86,0.87648,0.90532,0.88198,0.81,0.99
abtbuy,"(1, 2)",2.0,3.0,True,0.12,11.58,0.69315,0.71593,0.7049,0.66,0.79
abtbuy,"(1, 2)",3.0,0.5,False,0.14,11.89,0.8606,0.89519,0.86767,0.79,0.995
abtbuy,"(1, 2)",3.0,0.5,True,0.14,11.65,0.74384,0.75732,0.75525,0.71,0.81
abtbuy,"(1, 2)",3.0,1.0,False,0.14,11.61,0.88883,0.91807,0.89533,0.83,1.0
abtbuy,"(1, 2)",3.0,1.0,True,0.14,11.6,0.70136,0.722,0.71464,0.66,0.79
abtbuy,"(1, 2)",3.0,2.0,False,0.14,10.4,0.8895,0.91848,0.89533,0.83,1.0
abtbuy,"(1, 2)",3.0,2.0,True,0.14,10.26,0.66609,0.68734,0.68085,0.64,0.755
abtbuy,"(1, 2)",3.0,3.0,False,0.14,10.07,0.8895,0.91848,0.89533,0.83,1.0
abtbuy,"(1, 2)",3.0,3.0,True,0.14,9.88,0.60207,0.62808,0.61124,0.54,0.715
abtbuy,"(1, 3)",0.0,0.5,False,0.15,9.38,0.64171,0.67523,0.65344,0.55,0.785
abtbuy,"(1, 3)",0.0,0.5,True,0.15,8.38,0.77268,0.8047,0.78226,0.71,0.91
abtbuy,"(1, 3)",0.0,1.0,False,0.15,10.86,0.60106,0.63802,0.61301,0.53,0.755
abtbuy,"(1, 3)",0.0,1.0,True,0.15,9.69,0.76829,0.79384,0.77726,0.71,0.88
abtbuy,"(1, 3)",0.0,2.0,False,0.15,9.79,0.46838,0.49026,0.47764,0.42,0.57
abtbuy,"(1, 3)",0.0,2.0,True,0.15,9.29,0.75569,0.77201,0.76593,0.72,0.82
abtbuy,"(1, 3)",0.0,3.0,False,0.15,9.74,0.32923,0.3404,0.33896,0.29,0.4
abtbuy,"(1, 3)",0.0,3.0,True,0.15,12.12,0.72102,0.74431,0.73219,0.67,0.805
abtbuy,"(1, 3)",0.5,0.5,False,0.24,12.95,0.76111,0.80623,0.77214,0.68,0.945
abtbuy,"(1, 3)",0.5,0.5,True,0.24,11.63,0.83263,0.8523,0.84388,0.8,0.92
