task,n,idf_exponent,dim,normalize,position_weight,denominator,eval_sec,map,ndcg@10,ndcg@5,mrr,hit@1,hit@10,recall@10,p@10,rprec
ermagellan,"(2,)",0.0,1.0,False,0.0,dice,108.88,0.11045,0.12834,0.10383,0.11045,0.06796,0.21845,0.21845,0.02184,0.06796
ermagellan,"(2,)",0.0,1.0,False,0.5,dice,100.02,0.1111,0.1244,0.10434,0.1111,0.06796,0.20388,0.20388,0.02039,0.06796
ermagellan,"(2,)",0.0,1.0,False,1.0,dice,80.49,0.11218,0.1223,0.10719,0.11218,0.06796,0.19417,0.19417,0.01942,0.06796
ermagellan,"(2,)",0.0,1.0,True,0.0,dice,71.17,0.37313,0.41206,0.38643,0.37313,0.28155,0.56796,0.56796,0.0568,0.28155
ermagellan,"(2,)",0.0,1.0,True,0.5,dice,79.68,0.38022,0.41638,0.39365,0.38022,0.28641,0.56311,0.56311,0.05631,0.28641
ermagellan,"(2,)",0.0,1.0,True,1.0,dice,55.45,0.37849,0.41492,0.38901,0.37849,0.28641,0.56311,0.56311,0.05631,0.28641
ermagellan,"(2,)",0.0,1.0,True,0.0,geo,53.25,0.57046,0.62341,0.59167,0.57046,0.45146,0.81068,0.81068,0.08107,0.45146
ermagellan,"(2,)",0.0,1.0,True,0.5,geo,48.18,0.57932,0.63161,0.59966,0.57932,0.46117,0.81553,0.81553,0.08155,0.46117
ermagellan,"(2,)",0.0,1.0,True,1.0,geo,46.89,0.57949,0.63182,0.60813,0.57949,0.45146,0.81553,0.81553,0.08155,0.45146
ermagellan,"(2,)",0.5,1.0,False,0.0,dice,47.23,0.23399,0.26013,0.23502,0.23399,0.16505,0.38835,0.38835,0.03883,0.16505
ermagellan,"(2,)",0.5,1.0,False,0.5,dice,47.72,0.23815,0.26815,0.24338,0.23815,0.16505,0.40777,0.40777,0.04078,0.16505
ermagellan,"(2,)",0.5,1.0,False,1.0,dice,49.51,0.24193,0.27749,0.2486,0.24193,0.16019,0.43204,0.43204,0.0432,0.16019
ermagellan,"(2,)",0.5,1.0,True,0.0,dice,50.74,0.48043,0.52905,0.50559,0.48043,0.36893,0.70388,0.70388,0.07039,0.36893
ermagellan,"(2,)",0.5,1.0,True,0.5,dice,48.9,0.49064,0.53665,0.52121,0.49064,0.37379,0.70388,0.70388,0.07039,0.37379
ermagellan,"(2,)",0.5,1.0,True,1.0,dice,50.7,0.50351,0.54724,0.53331,0.50351,0.37864,0.70874,0.70874,0.07087,0.37864
ermagellan,"(2,)",0.5,1.0,True,0.0,geo,51.58,0.6835,0.73001,0.71169,0.6835,0.57282,0.8835,0.8835,0.08835,0.57282
