n,idf_exponent,dim,normalize,position_weight,denominator,mean_rank,worst_rank,mean_normalized_map,map_abtbuy,map_ermagellan,map_typo,map_typo_brutal,map_typo_hard,map_typo_ms
"(2, 3)",0.0,2.0,True,0.0,geo,104.0,211,0.8221,0.82816,0.72028,0.87566,0.14249,0.71628,0.86478
"(2, 4)",1.0,2.0,True,0.0,geo,104.0,121,0.8404,0.88786,0.79856,0.86582,0.12588,0.71329,0.83283
"(2, 3)",1.0,2.0,True,0.0,geo,104.0,132,0.8307,0.89304,0.79663,0.87142,0.11267,0.70932,0.83362
"(2, 4)",1.0,2.0,True,0.0,dice,104.83,182,0.8338,0.88447,0.68642,0.87085,0.13666,0.72344,0.84133
"(2, 3)",0.5,1.0,True,0.5,dice,104.83,194,0.8157,0.84953,0.64708,0.87454,0.13982,0.72937,0.85208
"(2, 3)",0.0,1.0,True,1.0,geo,105.5,234,0.8036,0.79925,0.71858,0.87533,0.13754,0.72519,0.86682
"(2,)",0.0,1.0,True,0.0,dice,106.83,250,0.7453,0.78189,0.37313,0.88762,0.15565,0.72351,0.87063
"(2, 3)",0.0,1.0,True,0.5,dice,107.17,240,0.7839,0.79501,0.59695,0.87836,0.14295,0.73021,0.86652
"(2, 4)",1.0,1.0,True,0.5,geo,108.0,125,0.8339,0.88739,0.81576,0.86153,0.12633,0.68905,0.82966
"(2, 4)",0.0,2.0,False,1.0,dice,108.17,264,0.6767,0.70857,0.23057,0.86618,0.1622,0.73464,0.87484
"(2,)",1.0,1.0,True,0.0,dice,108.33,213,0.8161,0.87369,0.59802,0.89071,0.13766,0.71842,0.83966
"(2, 3)",0.0,1.0,True,0.5,geo,108.5,221,0.8043,0.81003,0.72323,0.87371,0.13491,0.72463,0.85775
"(2, 4)",0.5,1.0,True,1.0,geo,108.67,193,0.8354,0.8464,0.78617,0.8663,0.14591,0.70675,0.84079
"(2, 3)",0.0,2.0,False,1.0,dice,109.67,267,0.6757,0.71292,0.22091,0.86394,0.16031,0.73332,0.88046
"(2, 3)",0.5,1.0,True,0.0,geo,109.83,140,0.8251,0.8788,0.77319,0.86869,0.11701,0.71126,0.84471
"(2, 4)",0.5,2.0,False,1.0,dice,110.17,235,0.7869,0.80318,0.52702,0.8616,0.16336,0.72492,0.86852
"(2, 3)",2.0,1.0,True,1.0,geo,110.33,149,0.7885,0.89536,0.87648,0.84324,0.09266,0.65796,0.79452
"(2,)",0.0,1.0,True,0.0,geo,110.67,228,0.7852,0.80467,0.57046,0.88724,0.14569,0.71314,0.86758
"(2, 3)",0.5,2.0,False,1.0,dice,110.67,242,0.7678,0.80661,0.46777,0.8583,0.1528,0.72904,0.87561
"(2, 3)",2.0,1.0,True,0.5,geo,111.5,151,0.7817,0.90267,0.87433,0.8397,0.08969,0.65018,0.7832
"(2, 3)",1.0,1.0,True,0.5,dice,111.67,171,0.8188,0.86181,0.7223,0.87244,0.12602,0.7252,0.84144
"(2, 3)",2.0,2.0,True,1.0,geo,111.83,147,0.7838,0.89526,0.86801,0.84424,0.09375,0.65159,0.78696
"(2, 3)",1.0,2.0,True,0.0,dice,111.83,177,0.821,0.87977,0.69238,0.87237,0.12651,0.71748,0.84204
"(2, 4)",0.0,2.0,False,0.5,dice,112.0,264,0.6719,0.70394,0.23154,0.86265,0.16162,0.73357,0.87459
"(2, 3)",1.0,1.0,True,0.0,geo,112.17,135,0.8119,0.88804,0.8064,0.85988,0.1048,0.69877,0.82748
"(2, 4)",2.0,2.0,True,1.0,geo,113.0,146,0.7843,0.89951,0.86172,0.84162,0.09598,0.646,0.78659
"(2, 4)",0.5,1.0,True,1.0,dice,113.0,208,0.8186,0.83056,0.68558,0.86688,0.15478,0.71347,0.84656
"(2,)",0.0,1.0,False,1.0,dice,113.83,268,0.6307,0.67378,0.11218,0.87708,0.15962,0.72433,0.87496
"(2, 3)",0.0,1.0,False,1.0,dice,114.17,258,0.6747,0.71996,0.25331,0.86285,0.14988,0.73208,0.8797
"(2, 4)",1.0,1.0,True,0.0,geo,114.5,133,0.8133,0.88939,0.81587,0.8565,0.11367,0.67412,0.82313
"(2, 4)",1.0,1.0,True,1.0,dice,114.5,173,0.8265,0.85981,0.73678,0.86532,0.13889,0.70671,0.84539
"(2, 4)",2.0,1.0,True,1.0,geo,114.5,143,0.7888,0.89092,0.86873,0.83359,0.10306,0.65338,0.79152
"(2, 4)",2.0,1.0,True,0.5,geo,114.83,152,0.7822,0.90743,0.8611,0.83,0.10085,0.63462,0.77663
"(2, 4)",2.0,2.0,True,0.5,geo,114.83,162,0.7752,0.911,0.86544,0.8308,0.09475,0.63154,0.76684
"(2, 3)",2.0,1.0,True,0.0,geo,115.0,170,0.7658,0.91817,0.86525,0.8314,0.0792,0.63483,0.77069
"(2, 3)",2.0,2.0,True,0.5,geo,115.17,161,0.7706,0.90217,0.86613,0.84218,0.08418,0.64371,0.77528
"(2, 4)",0.5,2.0,False,0.5,dice,115.5,236,0.7749,0.8042,0.51095,0.85281,0.15906,0.72595,0.86352
"(2,)",0.0,1.0,False,0.5,dice,115.83,269,0.6268,0.66931,0.1111,0.87708,0.15913,0.72222,0.87495
"(2, 3)",0.0,2.0,False,0.5,dice,116.0,265,0.6573,0.70051,0.22615,0.86331,0.1486,0.73255,0.88042
"(2, 3)",0.0,1.0,False,0.5,dice,116.17,260,0.667,0.7116,0.2541,0.86283,0.14697,0.73164,0.8797
"(2,)",0.5,1.0,False,1.0,dice,116.17,260,0.6943,0.7449,0.24193,0.86624,0.16196,0.72362,0.86944
"(2, 4)",0.0,1.0,True,1.0,dice,116.5,243,0.7895,0.7894,0.64079,0.86897,0.15589,0.70905,0.85617
"(2, 4)",1.0,1.0,True,0.5,dice,116.67,156,0.8259,0.8811,0.73438,0.86534,0.13263,0.69818,0.83547
"(2, 3)",0.0,1.0,True,0.0,geo,116.83,206,0.8027,0.83144,0.72334,0.86855,0.12879,0.71357,0.85153
"(2, 4)",0.0,1.0,True,1.0,geo,117.83,237,0.7982,0.79645,0.73413,0.86542,0.14683,0.70013,0.85177
"(2, 4)",2.0,1.0,True,0.0,geo,118.17,159,0.7648,0.91267,0.86214,0.82493,0.08776,0.62247,0.7721
"(2, 4)",0.0,1.0,True,0.5,dice,118.5,219,0.7962,0.81098,0.64216,0.86579,0.15393,0.70574,0.85137
"(2, 3)",0.0,1.0,True,0.0,dice,119.67,223,0.7757,0.80796,0.59495,0.87352,0.13425,0.72161,0.86156
"(2, 3)",1.0,2.0,False,1.0,dice,119.83,201,0.7977,0.85725,0.63031,0.84393,0.13521,0.71838,0.85698
"(2, 3)",0.5,1.0,False,1.0,dice,120.33,241,0.755,0.80025,0.47593,0.85652,0.14542,0.72378,0.87223
"(2, 4)",2.0,2.0,True,0.0,geo,120.67,173,0.7498,0.92433,0.85709,0.82201,0.07714,0.61631,0.75136
"(2, 4)",0.5,1.0,True,0.5,geo,120.83,192,0.8183,0.84769,0.78959,0.86282,0.13449,0.6954,0.83443
"(2, 3)",0.5,2.0,False,0.5,dice,120.83,245,0.7419,0.78771,0.45178,0.85123,0.1456,0.73009,0.86954
"(2, 3)",2.0,2.0,True,0.0,geo,121.0,172,0.7501,0.9165,0.85769,0.82812,0.07729,0.62294,0.75126
"(2, 3)",0.5,1.0,True,0.0,dice,121.0,200,0.7952,0.85537,0.63523,0.87455,0.12368,0.72067,0.8453
"(2, 4)",0.0,1.0,False,1.0,dice,121.67,256,0.685,0.72385,0.30179,0.85781,0.15568,0.72918,0.86364
"(2, 4)",0.5,1.0,True,0.5,dice,121.67,197,0.8111,0.84345,0.67633,0.86535,0.14852,0.69938,0.84222
"(2, 4)",1.0,1.0,True,0.0,dice,121.67,159,0.8142,0.8876,0.73003,0.85998,0.12513,0.69056,0.82835
"(2, 3)",2.0,1.0,True,1.0,dice,122.17,140,0.7821,0.89025,0.79901,0.85151,0.09823,0.66009,0.80412
"(2, 3)",2.0,1.0,True,0.5,dice,122.5,148,0.7736,0.89654,0.80112,0.84592,0.09375,0.65039,0.79571
"(2, 3)",1.0,1.0,True,0.0,dice,122.67,171,0.8107,0.88043,0.71621,0.86267,0.11994,0.71071,0.83292
"(2, 4)",0.0,1.0,True,0.5,geo,122.83,215,0.8017,0.81766,0.73422,0.85806,0.14396,0.69654,0.84694
"(2, 3)",1.0,2.0,False,0.5,dice,124.33,206,0.7932,0.88211,0.61631,0.84214,0.12539,0.70876,0.85122
"(2, 4)",0.0,1.0,False,0.5,dice,125.67,258,0.6805,0.71905,0.31052,0.85781,0.15326,0.72548,0.86364
"(2, 4)",0.5,1.0,True,0.0,geo,125.83,169,0.809,0.86277,0.78116,0.85977,0.12451,0.68563,0.82967
"(2, 4)",2.0,1.0,True,1.0,dice,127.0,142,0.7756,0.88396,0.80599,0.83858,0.10207,0.66053,0.79374
"(2, 3)",2.0,1.0,True,0.0,dice,127.17,162,0.7552,0.90476,0.80289,0.84351,0.08373,0.63934,0.76821
"(2, 3)",1.0,1.0,False,1.0,dice,127.67,211,0.7814,0.85258,0.60461,0.84243,0.12971,0.71392,0.85505
"(2,)",2.0,1.0,True,1.0,geo,128.0,166,0.7474,0.9,0.82778,0.83689,0.0866,0.6129,0.76072
"(2, 3)",2.0,2.0,True,1.0,dice,128.5,146,0.7657,0.88478,0.7878,0.84688,0.09407,0.65411,0.7949
"(2, 4)",3.0,1.0,True,0.5,geo,128.67,191,0.6893,0.92293,0.8948,0.78853,0.06444,0.53152,0.70511
"(2, 4)",2.0,2.0,True,1.0,dice,129.17,151,0.7635,0.892,0.78761,0.84385,0.09744,0.64299,0.7789
"(2, 4)",3.0,1.0,True,1.0,geo,129.33,183,0.7061,0.90876,0.90387,0.79562,0.07359,0.5484,0.72207
"(2, 4)",1.0,2.0,False,1.0,dice,130.0,196,0.7957,0.84509,0.69388,0.83719,0.1389,0.69581,0.84933
"(2, 4)",0.0,1.0,True,0.0,geo,130.83,204,0.7949,0.83527,0.73754,0.85884,0.13316,0.67993,0.84192
"(2, 4)",2.0,1.0,True,0.5,dice,131.0,148,0.7621,0.88747,0.80015,0.83404,0.0969,0.64767,0.78394
"(2, 3)",0.5,1.0,False,0.5,dice,131.33,243,0.7325,0.79117,0.45943,0.85226,0.13551,0.72322,0.8665
"(2, 3)",2.0,2.0,True,0.5,dice,131.5,156,0.7534,0.89669,0.78976,0.84016,0.08956,0.63737,0.77294
"(2, 4)",0.0,1.0,True,0.0,dice,131.67,222,0.7768,0.80936,0.64105,0.8594,0.14203,0.69991,0.84624
"(2, 4)",3.0,1.0,True,0.0,geo,132.0,197,0.6714,0.93293,0.89169,0.77518,0.06044,0.50462,0.68892
"(2,)",0.5,1.0,False,0.5,dice,132.0,261,0.6755,0.74406,0.23815,0.8577,0.1523,0.71772,0.86173
"(2, 3)",1.0,1.0,False,0.5,dice,132.5,217,0.7797,0.88244,0.59453,0.84091,0.12008,0.70456,0.84514
"(2, 4)",0.5,1.0,True,0.0,dice,132.67,195,0.7904,0.8453,0.66855,0.86637,0.13267,0.69277,0.83508
"(2, 4)",0.5,1.0,False,1.0,dice,134.17,230,0.7607,0.81503,0.56154,0.84773,0.13962,0.7067,0.85392
