n,idf_exponent,dim,normalize,position_weight,denominator,mean_rank,worst_rank,mean_normalized_map,map_abtbuy,map_ermagellan,map_typo,map_typo_brutal,map_typo_hard,map_typo_ms
"(2, 4)",0.5,1.0,False,0.0,dice,162.67,234,0.7181,0.81847,0.53789,0.82078,0.12854,0.67875,0.82643
"(2, 3)",4.0,1.0,False,1.0,dice,163.0,236,0.5105,0.9295,0.85686,0.66069,0.04805,0.34464,0.55339
"(2, 3)",4.0,1.0,True,1.0,geo,164.0,233,0.5256,0.9085,0.89789,0.69667,0.04287,0.35052,0.57674
"(2, 4)",3.0,2.0,False,0.5,dice,164.17,195,0.6481,0.87592,0.80347,0.75502,0.07106,0.52812,0.74408
"(2, 3)",4.0,1.0,True,0.0,geo,164.33,247,0.4963,0.93367,0.8946,0.6587,0.0367,0.31516,0.54423
"(2, 4)",3.0,2.0,True,0.5,dice,164.33,216,0.5678,0.90634,0.8271,0.73387,0.04867,0.43996,0.60648
"(2, 4)",0.0,1.0,False,0.0,dice,164.5,263,0.6276,0.70435,0.31855,0.82792,0.1368,0.69546,0.83824
"(2, 3)",3.0,2.0,True,1.0,dice,165.0,217,0.5701,0.89851,0.83581,0.74156,0.04987,0.44273,0.60583
"(2, 4)",3.0,2.0,False,0.0,dice,165.33,205,0.6317,0.88192,0.79935,0.73864,0.06951,0.51497,0.72303
"(2, 3)",4.0,1.0,False,0.5,dice,165.33,240,0.4972,0.93617,0.85348,0.6553,0.04448,0.33037,0.53424
"(2,)",0.5,1.0,False,0.0,dice,165.5,262,0.6278,0.74034,0.23399,0.83101,0.13706,0.68845,0.83283
"(2, 4)",4.0,1.0,True,0.0,dice,166.0,238,0.5145,0.9356,0.83433,0.67391,0.04099,0.3577,0.56328
"(2, 3)",4.0,2.0,False,1.0,dice,166.5,241,0.4916,0.92117,0.86186,0.65258,0.04722,0.33471,0.52822
"(2,)",1.0,1.0,False,0.0,dice,167.67,252,0.6719,0.82296,0.35057,0.82605,0.12388,0.67266,0.81115
"(2, 4)",4.0,1.0,True,0.5,dice,168.33,230,0.5239,0.91476,0.83992,0.69185,0.04355,0.38117,0.57234
"(2, 3)",4.0,2.0,False,0.5,dice,168.33,246,0.4819,0.93667,0.85976,0.64359,0.04299,0.31571,0.5148
"(2, 3)",3.0,2.0,True,0.5,dice,169.17,225,0.5478,0.90342,0.83322,0.72795,0.04548,0.41374,0.58847
"(2, 4)",3.0,2.0,True,0.0,dice,169.67,226,0.5424,0.91102,0.81616,0.71411,0.04455,0.41524,0.58815
"(2, 4)",4.0,2.0,False,1.0,dice,169.83,206,0.6086,0.8648,0.81978,0.73701,0.06543,0.48329,0.71365
"(2, 4)",4.0,1.0,True,1.0,dice,170.83,225,0.5315,0.90293,0.84,0.7028,0.04582,0.3951,0.58242
"(2, 3)",4.0,1.0,False,0.0,dice,170.83,250,0.4797,0.94667,0.84934,0.63602,0.04254,0.31823,0.50553
"(2, 3)",3.0,2.0,True,0.0,dice,170.83,235,0.5292,0.9115,0.82451,0.71291,0.04199,0.38976,0.57506
"(2, 3)",4.0,2.0,False,0.0,dice,171.83,252,0.4702,0.93833,0.85342,0.63212,0.04373,0.30766,0.49921
"(2, 4)",4.0,2.0,False,0.5,dice,172.33,208,0.6041,0.86769,0.8133,0.73279,0.06406,0.47727,0.71439
"(2,)",3.0,1.0,True,1.0,geo,172.5,232,0.515,0.89993,0.85766,0.69618,0.04455,0.38491,0.54663
"(2,)",0.0,1.0,False,0.0,dice,173.17,270,0.5467,0.65602,0.11045,0.8109,0.14196,0.68028,0.82733
"(2, 4)",4.0,2.0,False,0.0,dice,174.0,215,0.5943,0.87319,0.81002,0.72144,0.06346,0.47551,0.69403
"(2,)",3.0,1.0,True,0.5,geo,175.83,243,0.487,0.90691,0.84942,0.66972,0.03813,0.35674,0.53324
"(2,)",3.0,1.0,True,0.0,geo,176.5,247,0.4697,0.91491,0.84718,0.65903,0.03626,0.32923,0.51242
"(2,)",2.0,1.0,False,0.5,dice,177.17,224,0.5689,0.91426,0.58682,0.74055,0.06768,0.48933,0.63688
"(2, 3)",4.0,2.0,True,0.5,geo,177.67,265,0.4488,0.92117,0.87715,0.6375,0.02672,0.2989,0.5034
"(2, 4)",4.0,2.0,True,0.5,geo,178.17,258,0.4568,0.91087,0.86954,0.63953,0.02897,0.32083,0.52079
"(2, 3)",4.0,1.0,True,0.5,dice,178.67,251,0.4655,0.91617,0.83717,0.66503,0.03592,0.30585,0.52013
"(2, 3)",4.0,1.0,True,1.0,dice,179.5,244,0.4784,0.90208,0.84453,0.67803,0.04117,0.31988,0.53388
"(2, 3)",4.0,2.0,True,1.0,geo,179.5,254,0.4595,0.90626,0.88702,0.65116,0.03096,0.31265,0.51279
"(2, 4)",4.0,2.0,True,1.0,geo,180.17,249,0.4705,0.89417,0.87052,0.65711,0.03307,0.34389,0.53488
"(2, 3)",4.0,2.0,True,0.0,geo,180.17,266,0.4264,0.92867,0.87306,0.60975,0.02545,0.27625,0.48373
"(2, 4)",4.0,2.0,True,0.0,geo,180.67,264,0.436,0.92069,0.86608,0.61933,0.02684,0.28392,0.50864
"(2, 3)",4.0,1.0,True,0.0,dice,181.0,254,0.4456,0.92367,0.83384,0.63916,0.03112,0.29368,0.5064
"(2,)",2.0,1.0,False,0.0,dice,185.67,227,0.525,0.91654,0.57082,0.70881,0.05789,0.46412,0.60142
"(2,)",2.0,1.0,False,1.0,dice,188.83,218,0.5724,0.87648,0.59361,0.75533,0.07311,0.51364,0.65077
"(2,)",3.0,1.0,True,1.0,dice,191.83,238,0.4727,0.8956,0.78203,0.66601,0.04223,0.36846,0.53284
"(2, 3)",4.0,2.0,True,1.0,dice,192.0,256,0.4204,0.90636,0.82209,0.62666,0.03127,0.29143,0.48323
"(2, 3)",4.0,2.0,True,0.0,dice,192.67,263,0.3887,0.91667,0.81822,0.59195,0.02763,0.26215,0.45212
"(2, 3)",4.0,2.0,True,0.5,dice,193.67,259,0.4092,0.91033,0.8164,0.61631,0.02934,0.28897,0.46637
"(2, 4)",4.0,2.0,True,0.5,dice,195.67,259,0.4244,0.90976,0.79954,0.61635,0.02893,0.30522,0.51184
"(2, 4)",4.0,2.0,True,1.0,dice,197.17,250,0.4385,0.89069,0.803,0.63951,0.03306,0.32517,0.52592
"(2,)",3.0,1.0,True,0.5,dice,198.17,243,0.4522,0.8943,0.77012,0.65011,0.0398,0.35194,0.52283
"(2, 4)",4.0,2.0,True,0.0,dice,199.83,260,0.4044,0.90952,0.79725,0.60024,0.02876,0.28229,0.49414
"(2,)",3.0,1.0,True,0.0,dice,200.83,253,0.4317,0.89953,0.77369,0.63538,0.03732,0.32553,0.49909
"(2,)",3.0,1.0,False,0.0,dice,205.17,261,0.3654,0.9325,0.6493,0.55974,0.03764,0.29135,0.44191
"(2,)",4.0,1.0,True,1.0,geo,210.67,262,0.3467,0.87635,0.81924,0.55725,0.02925,0.26475,0.42708
"(2,)",3.0,1.0,False,0.5,dice,210.67,260,0.3775,0.90817,0.65701,0.5816,0.03941,0.30927,0.46754
"(2,)",3.0,1.0,False,1.0,dice,214.33,258,0.3897,0.8895,0.67833,0.59577,0.04082,0.33295,0.47938
"(2,)",4.0,1.0,True,0.5,geo,215.5,268,0.3243,0.87667,0.81325,0.55169,0.02458,0.23582,0.41066
"(2,)",4.0,1.0,True,0.0,geo,217.0,270,0.3045,0.87767,0.81177,0.53748,0.02122,0.21258,0.39904
"(2,)",4.0,1.0,True,1.0,dice,225.83,264,0.3158,0.87283,0.75003,0.55433,0.02869,0.25256,0.39942
"(2,)",4.0,1.0,True,0.0,dice,226.5,269,0.2888,0.88093,0.7394,0.53596,0.02324,0.21542,0.3841
"(2,)",4.0,1.0,True,0.5,dice,228.0,267,0.3018,0.8735,0.74379,0.54965,0.02507,0.2327,0.39533
"(2,)",4.0,1.0,False,0.0,dice,232.83,270,0.2481,0.87994,0.63027,0.49155,0.03165,0.21676,0.35785
"(2,)",4.0,1.0,False,0.5,dice,236.17,269,0.2624,0.87111,0.64162,0.51113,0.03028,0.22901,0.37863
"(2,)",4.0,1.0,False,1.0,dice,240.83,268,0.2587,0.85113,0.64576,0.52064,0.02818,0.2337,0.39011
