task,n,idf_exponent,dim,normalize,build_sec,eval_sec,map,ndcg@10,mrr,hit@1,recall@10
typo,"(4,)",0.5,1.0,False,0.29,0.07,0.7136,0.74149,0.7136,0.65975,0.83817
typo,"(4,)",0.5,1.0,True,0.29,0.09,0.71442,0.75216,0.71442,0.63485,0.87137
typo,"(4,)",1.0,1.0,False,0.21,0.03,0.71276,0.73849,0.71276,0.65975,0.82988
typo,"(4,)",1.0,1.0,True,0.21,0.08,0.71644,0.75147,0.71644,0.639,0.86307
typo,"(4,)",2.0,1.0,False,0.26,0.06,0.70726,0.73215,0.70726,0.65145,0.82158
typo,"(4,)",2.0,1.0,True,0.26,0.07,0.70338,0.73782,0.70338,0.62241,0.85062
typo,"(4,)",3.0,1.0,False,0.31,0.05,0.69934,0.72631,0.69934,0.63485,0.82158
typo,"(4,)",3.0,1.0,True,0.31,0.09,0.67843,0.71783,0.67843,0.58091,0.84647
typo,"(1, 2)",0.0,0.5,False,0.14,2.99,0.88562,0.90393,0.88562,0.84232,0.96266
typo,"(1, 2)",0.0,0.5,True,0.14,2.93,0.94942,0.95753,0.94942,0.92531,0.9834
typo,"(1, 2)",0.0,1.0,False,0.14,2.59,0.88685,0.90482,0.88685,0.84232,0.96266
typo,"(1, 2)",0.0,1.0,True,0.14,2.94,0.95647,0.96389,0.95647,0.93776,0.98755
typo,"(1, 2)",0.0,2.0,False,0.14,2.72,0.88311,0.90187,0.88311,0.83402,0.96266
typo,"(1, 2)",0.0,2.0,True,0.14,2.75,0.95899,0.96705,0.95899,0.93776,0.9917
typo,"(1, 2)",0.0,3.0,False,0.14,2.99,0.87407,0.89247,0.87407,0.82988,0.95436
typo,"(1, 2)",0.0,3.0,True,0.14,3.1,0.96304,0.97001,0.96304,0.94191,0.9917
typo,"(1, 2)",0.5,0.5,False,0.18,2.81,0.89015,0.90934,0.89015,0.84647,0.97095
typo,"(1, 2)",0.5,0.5,True,0.18,2.97,0.95644,0.96384,0.95644,0.93776,0.98755
typo,"(1, 2)",0.5,1.0,False,0.18,2.83,0.89379,0.91218,0.89379,0.85062,0.97095
typo,"(1, 2)",0.5,1.0,True,0.18,2.67,0.95768,0.96479,0.95768,0.93776,0.98755
typo,"(1, 2)",0.5,2.0,False,0.18,2.82,0.89796,0.91525,0.89796,0.85892,0.97095
typo,"(1, 2)",0.5,2.0,True,0.18,3.12,0.96455,0.97121,0.96455,0.94606,0.9917
typo,"(1, 2)",0.5,3.0,False,0.18,3.14,0.89877,0.91595,0.89877,0.85892,0.97095
typo,"(1, 2)",0.5,3.0,True,0.18,3.08,0.96024,0.96697,0.96024,0.93776,0.98755
typo,"(1, 2)",1.0,0.5,False,0.14,2.81,0.87833,0.89737,0.87833,0.82988,0.95851
typo,"(1, 2)",1.0,0.5,True,0.14,2.93,0.94422,0.95106,0.94422,0.92116,0.9751
typo,"(1, 2)",1.0,1.0,False,0.14,2.93,0.87573,0.89544,0.87573,0.82573,0.95851
typo,"(1, 2)",1.0,1.0,True,0.14,2.84,0.94333,0.95175,0.94333,0.91701,0.97925
typo,"(1, 2)",1.0,2.0,False,0.14,2.75,0.86857,0.89011,0.86857,0.81328,0.95851
typo,"(1, 2)",1.0,2.0,True,0.14,2.84,0.93424,0.94651,0.93424,0.90041,0.9834
typo,"(1, 2)",1.0,3.0,False,0.14,3.14,0.86811,0.88741,0.86811,0.81328,0.95021
