task,n,idf_exponent,dim,normalize,position_weight,denominator,eval_sec,map,ndcg@10,ndcg@5,mrr,hit@1,hit@10,recall@10,p@10,rprec
typo_hard,"(1,)",0.0,1.0,False,0.0,dice,21.01,0.33886,0.37013,0.35017,0.33886,0.25806,0.49194,0.49194,0.04919,0.25806
typo_hard,"(1,)",0.0,1.0,False,0.5,dice,22.9,0.5826,0.61906,0.60434,0.5826,0.5,0.75,0.75,0.075,0.5
typo_hard,"(1,)",0.0,1.0,False,1.0,dice,33.12,0.64048,0.67309,0.66002,0.64048,0.56452,0.78629,0.78629,0.07863,0.56452
typo_hard,"(1,)",0.0,1.0,True,0.0,dice,33.0,0.67132,0.70918,0.68568,0.67132,0.58065,0.84677,0.84677,0.08468,0.58065
typo_hard,"(1,)",0.0,1.0,True,0.5,dice,31.09,0.79427,0.82086,0.80385,0.79427,0.73387,0.91532,0.91532,0.09153,0.73387
typo_hard,"(1,)",0.0,1.0,True,1.0,dice,26.81,0.83877,0.86077,0.84457,0.83877,0.79032,0.93952,0.93952,0.09395,0.79032
typo_hard,"(1,)",0.0,1.0,True,0.0,geo,22.82,0.66981,0.70856,0.68366,0.66981,0.58065,0.84677,0.84677,0.08468,0.58065
typo_hard,"(1,)",0.0,1.0,True,0.5,geo,21.69,0.79022,0.81479,0.80436,0.79022,0.72984,0.90323,0.90323,0.09032,0.72984
typo_hard,"(1,)",0.0,1.0,True,1.0,geo,20.93,0.83363,0.85719,0.84277,0.83363,0.78226,0.93952,0.93952,0.09395,0.78226
typo_hard,"(1,)",0.5,1.0,False,0.0,dice,26.27,0.35081,0.38357,0.36693,0.35081,0.26613,0.50806,0.50806,0.05081,0.26613
typo_hard,"(1,)",0.5,1.0,False,0.5,dice,29.09,0.53317,0.5601,0.54113,0.53317,0.46774,0.66129,0.66129,0.06613,0.46774
typo_hard,"(1,)",0.5,1.0,False,1.0,dice,21.85,0.59057,0.61059,0.59825,0.59057,0.52419,0.69758,0.69758,0.06976,0.52419
typo_hard,"(1,)",0.5,1.0,True,0.0,dice,20.24,0.64753,0.67895,0.6618,0.64753,0.56048,0.79839,0.79839,0.07984,0.56048
typo_hard,"(1,)",0.5,1.0,True,0.5,dice,19.39,0.74881,0.78093,0.76788,0.74881,0.66935,0.89113,0.89113,0.08911,0.66935
typo_hard,"(1,)",0.5,1.0,True,1.0,dice,20.29,0.81098,0.8333,0.82532,0.81098,0.75,0.91129,0.91129,0.09113,0.75
typo_hard,"(1,)",0.5,1.0,True,0.0,geo,20.59,0.64361,0.67417,0.65702,0.64361,0.55645,0.79032,0.79032,0.07903,0.55645
typo_hard,"(1,)",0.5,1.0,True,0.5,geo,16.82,0.74729,0.78011,0.7643,0.74729,0.66935,0.89113,0.89113,0.08911,0.66935
typo_hard,"(1,)",0.5,1.0,True,1.0,geo,18.41,0.80627,0.83007,0.82335,0.80627,0.74597,0.91129,0.91129,0.09113,0.74597
typo_hard,"(1,)",1.0,1.0,False,0.0,dice,18.31,0.26766,0.29484,0.27253,0.26766,0.19355,0.41129,0.41129,0.04113,0.19355
typo_hard,"(1,)",1.0,1.0,False,0.5,dice,18.24,0.41783,0.45143,0.42495,0.41783,0.35081,0.57661,0.57661,0.05766,0.35081
typo_hard,"(1,)",1.0,1.0,False,1.0,dice,18.88,0.47667,0.50696,0.48977,0.47667,0.39919,0.62097,0.62097,0.0621,0.39919
typo_hard,"(1,)",1.0,1.0,True,0.0,dice,18.5,0.51097,0.54762,0.5262,0.51097,0.41532,0.68548,0.68548,0.06855,0.41532
typo_hard,"(1,)",1.0,1.0,True,0.5,dice,18.45,0.63304,0.66756,0.65175,0.63304,0.54435,0.79032,0.79032,0.07903,0.54435
typo_hard,"(1,)",1.0,1.0,True,1.0,dice,18.25,0.69897,0.73146,0.71636,0.69897,0.61694,0.84274,0.84274,0.08427,0.61694
typo_hard,"(1,)",1.0,1.0,True,0.0,geo,18.13,0.50815,0.54873,0.52108,0.50815,0.40726,0.69758,0.69758,0.06976,0.40726
typo_hard,"(1,)",1.0,1.0,True,0.5,geo,18.16,0.63888,0.67446,0.66117,0.63888,0.54839,0.79839,0.79839,0.07984,0.54839
typo_hard,"(1,)",1.0,1.0,True,1.0,geo,18.23,0.70553,0.73771,0.7223,0.70553,0.625,0.84677,0.84677,0.08468,0.625
typo_hard,"(1,)",2.0,1.0,False,0.0,dice,17.86,0.20919,0.23326,0.21617,0.20919,0.14516,0.32661,0.32661,0.03266,0.14516
typo_hard,"(1,)",2.0,1.0,False,0.5,dice,18.07,0.32783,0.34962,0.33101,0.32783,0.27016,0.43548,0.43548,0.04355,0.27016
typo_hard,"(1,)",2.0,1.0,False,1.0,dice,18.03,0.36273,0.38694,0.36483,0.36273,0.30645,0.47984,0.47984,0.04798,0.30645
typo_hard,"(1,)",2.0,1.0,True,0.0,dice,18.62,0.32072,0.35728,0.32652,0.32072,0.25403,0.4879,0.4879,0.04879,0.25403
typo_hard,"(1,)",2.0,1.0,True,0.5,dice,18.3,0.43407,0.4555,0.44635,0.43407,0.37903,0.53629,0.53629,0.05363,0.37903
