task,n,idf_exponent,dim,normalize,position_weight,denominator,eval_sec,map,ndcg@10,ndcg@5,mrr,hit@1,hit@10,recall@10,p@10,rprec
abtbuy,"(1,)",0.0,1.0,False,0.0,dice,13.0,0.11324,0.13507,0.1264,0.11577,0.05,0.23,0.22,0.023,0.05
abtbuy,"(1,)",0.0,1.0,False,0.5,dice,12.55,0.15082,0.15631,0.15298,0.15459,0.1,0.21,0.2,0.021,0.105
abtbuy,"(1,)",0.0,1.0,False,1.0,dice,13.48,0.15244,0.16717,0.14266,0.1558,0.12,0.25,0.24,0.025,0.125
abtbuy,"(1,)",0.0,1.0,True,0.0,dice,11.91,0.58987,0.60779,0.5949,0.59276,0.54,0.68,0.675,0.069,0.545
abtbuy,"(1,)",0.0,1.0,True,0.5,dice,12.31,0.59124,0.61575,0.59734,0.59692,0.54,0.71,0.7,0.072,0.535
abtbuy,"(1,)",0.0,1.0,True,1.0,dice,11.7,0.59168,0.62128,0.60533,0.59785,0.53,0.73,0.72,0.074,0.525
abtbuy,"(1,)",0.0,1.0,True,0.0,geo,11.08,0.6083,0.62996,0.61877,0.61133,0.55,0.72,0.71,0.073,0.555
abtbuy,"(1,)",0.0,1.0,True,0.5,geo,13.69,0.643,0.65924,0.65085,0.6486,0.6,0.73,0.72,0.074,0.595
abtbuy,"(1,)",0.0,1.0,True,1.0,geo,16.28,0.64833,0.67176,0.65911,0.65469,0.6,0.76,0.75,0.077,0.595
abtbuy,"(1,)",0.5,1.0,False,0.0,dice,12.97,0.15805,0.18149,0.16677,0.1618,0.08,0.3,0.29,0.03,0.085
abtbuy,"(1,)",0.5,1.0,False,0.5,dice,12.77,0.19671,0.21539,0.19666,0.20087,0.13,0.32,0.31,0.032,0.135
abtbuy,"(1,)",0.5,1.0,False,1.0,dice,14.79,0.19536,0.21849,0.19822,0.19923,0.13,0.34,0.33,0.034,0.135
abtbuy,"(1,)",0.5,1.0,True,0.0,dice,13.68,0.6905,0.70816,0.69199,0.69842,0.66,0.78,0.77,0.08,0.655
abtbuy,"(1,)",0.5,1.0,True,0.5,dice,14.13,0.70256,0.71281,0.70299,0.71028,0.68,0.77,0.755,0.078,0.68
abtbuy,"(1,)",0.5,1.0,True,1.0,dice,12.35,0.71411,0.7278,0.71842,0.72267,0.69,0.79,0.775,0.08,0.69
abtbuy,"(1,)",0.5,1.0,True,0.0,geo,11.43,0.69674,0.71675,0.70035,0.70192,0.65,0.8,0.79,0.082,0.655
abtbuy,"(1,)",0.5,1.0,True,0.5,geo,12.72,0.72136,0.73572,0.71431,0.72873,0.7,0.81,0.795,0.082,0.7
abtbuy,"(1,)",0.5,1.0,True,1.0,geo,16.47,0.724,0.73799,0.72598,0.73254,0.7,0.81,0.795,0.082,0.7
abtbuy,"(1,)",1.0,1.0,False,0.0,dice,15.82,0.19232,0.22837,0.20909,0.19513,0.09,0.39,0.385,0.039,0.095
abtbuy,"(1,)",1.0,1.0,False,0.5,dice,13.33,0.23901,0.27299,0.24724,0.24143,0.15,0.43,0.42,0.043,0.15
abtbuy,"(1,)",1.0,1.0,False,1.0,dice,15.1,0.24751,0.28327,0.26187,0.25025,0.15,0.45,0.435,0.045,0.15
abtbuy,"(1,)",1.0,1.0,True,0.0,dice,13.76,0.65955,0.69184,0.66703,0.66628,0.61,0.81,0.795,0.082,0.61
abtbuy,"(1,)",1.0,1.0,True,0.5,dice,14.65,0.67313,0.70036,0.6864,0.68127,0.62,0.8,0.785,0.081,0.62
abtbuy,"(1,)",1.0,1.0,True,1.0,dice,11.45,0.68096,0.70636,0.6929,0.68904,0.63,0.8,0.785,0.081,0.635
abtbuy,"(1,)",1.0,1.0,True,0.0,geo,11.15,0.68342,0.70789,0.69403,0.69003,0.63,0.8,0.79,0.081,0.63
abtbuy,"(1,)",1.0,1.0,True,0.5,geo,11.1,0.69544,0.71928,0.70448,0.70367,0.65,0.81,0.795,0.082,0.65
