task,n,idf_exponent,dim,normalize,position_weight,denominator,eval_sec,map,ndcg@10,ndcg@5,mrr,hit@1,hit@10,recall@10,p@10,rprec
typo,"(1,)",0.0,1.0,False,0.0,dice,2.75,0.42475,0.46893,0.43748,0.42475,0.3112,0.639,0.639,0.0639,0.3112
typo,"(1,)",0.0,1.0,False,0.5,dice,3.98,0.71902,0.75133,0.73963,0.71902,0.63071,0.86307,0.86307,0.08631,0.63071
typo,"(1,)",0.0,1.0,False,1.0,dice,3.45,0.75277,0.7785,0.76643,0.75277,0.6805,0.87137,0.87137,0.08714,0.6805
typo,"(1,)",0.0,1.0,True,0.0,dice,3.17,0.83605,0.86655,0.85283,0.83605,0.76763,0.9668,0.9668,0.09668,0.76763
typo,"(1,)",0.0,1.0,True,0.5,dice,3.69,0.93005,0.94495,0.93947,0.93005,0.88797,0.9917,0.9917,0.09917,0.88797
typo,"(1,)",0.0,1.0,True,1.0,dice,3.98,0.95711,0.9653,0.96399,0.95711,0.93361,0.9917,0.9917,0.09917,0.93361
typo,"(1,)",0.0,1.0,True,0.0,geo,3.72,0.8348,0.86325,0.84801,0.8348,0.76763,0.95851,0.95851,0.09585,0.76763
typo,"(1,)",0.0,1.0,True,0.5,geo,3.7,0.92033,0.93648,0.93251,0.92033,0.87137,0.98755,0.98755,0.09876,0.87137
typo,"(1,)",0.0,1.0,True,1.0,geo,3.33,0.95505,0.96374,0.96101,0.95505,0.93361,0.9917,0.9917,0.09917,0.93361
typo,"(1,)",0.5,1.0,False,0.0,dice,3.68,0.43513,0.48485,0.444,0.43513,0.3278,0.66805,0.66805,0.0668,0.3278
typo,"(1,)",0.5,1.0,False,0.5,dice,3.24,0.646,0.67963,0.65841,0.646,0.56017,0.80498,0.80498,0.0805,0.56017
typo,"(1,)",0.5,1.0,False,1.0,dice,3.14,0.69835,0.72911,0.71379,0.69835,0.61826,0.84232,0.84232,0.08423,0.61826
typo,"(1,)",0.5,1.0,True,0.0,dice,3.14,0.81249,0.84426,0.83343,0.81249,0.73444,0.95021,0.95021,0.09502,0.73444
typo,"(1,)",0.5,1.0,True,0.5,dice,3.28,0.91113,0.92937,0.92137,0.91113,0.87137,0.98755,0.98755,0.09876,0.87137
typo,"(1,)",0.5,1.0,True,1.0,dice,3.64,0.93903,0.95099,0.95099,0.93903,0.90456,0.98755,0.98755,0.09876,0.90456
typo,"(1,)",0.5,1.0,True,0.0,geo,3.25,0.81079,0.84177,0.82808,0.81079,0.73859,0.94606,0.94606,0.09461,0.73859
typo,"(1,)",0.5,1.0,True,0.5,geo,3.17,0.90609,0.92435,0.91641,0.90609,0.86307,0.9834,0.9834,0.09834,0.86307
typo,"(1,)",0.5,1.0,True,1.0,geo,3.17,0.9363,0.94886,0.94886,0.9363,0.90456,0.98755,0.98755,0.09876,0.90456
typo,"(1,)",1.0,1.0,False,0.0,dice,3.3,0.39897,0.44317,0.40383,0.39897,0.3029,0.61411,0.61411,0.06141,0.3029
typo,"(1,)",1.0,1.0,False,0.5,dice,3.19,0.58059,0.61204,0.59163,0.58059,0.49793,0.73444,0.73444,0.07344,0.49793
typo,"(1,)",1.0,1.0,False,1.0,dice,3.19,0.63257,0.65877,0.64525,0.63257,0.55187,0.76763,0.76763,0.07676,0.55187
