task,n,idf_exponent,dim,normalize,position_weight,denominator,eval_sec,map,ndcg@10,ndcg@5,mrr,hit@1,hit@10,recall@10,p@10,rprec
typo_ms,"(1,)",0.0,1.0,False,0.0,dice,3.64,0.42638,0.47603,0.45428,0.42638,0.29536,0.65823,0.65823,0.06582,0.29536
typo_ms,"(1,)",0.0,1.0,False,0.5,dice,6.59,0.74706,0.77663,0.76688,0.74706,0.65823,0.87764,0.87764,0.08776,0.65823
typo_ms,"(1,)",0.0,1.0,False,1.0,dice,7.3,0.77051,0.80019,0.78795,0.77051,0.69198,0.89873,0.89873,0.08987,0.69198
typo_ms,"(1,)",0.0,1.0,True,0.0,dice,6.18,0.80198,0.84155,0.83331,0.80198,0.6962,0.96624,0.96624,0.09662,0.6962
typo_ms,"(1,)",0.0,1.0,True,0.5,dice,5.61,0.91577,0.9331,0.92753,0.91577,0.8692,0.98734,0.98734,0.09873,0.8692
typo_ms,"(1,)",0.0,1.0,True,1.0,dice,5.05,0.94471,0.95627,0.95627,0.94471,0.91139,0.99156,0.99156,0.09916,0.91139
typo_ms,"(1,)",0.0,1.0,True,0.0,geo,5.09,0.80013,0.83786,0.83113,0.80013,0.6962,0.95781,0.95781,0.09578,0.6962
typo_ms,"(1,)",0.0,1.0,True,0.5,geo,5.48,0.90749,0.92563,0.9202,0.90749,0.85654,0.98312,0.98312,0.09831,0.85654
typo_ms,"(1,)",0.0,1.0,True,1.0,geo,5.05,0.94079,0.95315,0.95024,0.94079,0.90717,0.99156,0.99156,0.09916,0.90717
typo_ms,"(1,)",0.5,1.0,False,0.0,dice,4.67,0.41871,0.47001,0.44738,0.41871,0.29114,0.65823,0.65823,0.06582,0.29114
typo_ms,"(1,)",0.5,1.0,False,0.5,dice,4.87,0.6829,0.71438,0.70333,0.6829,0.59916,0.827,0.827,0.0827,0.59916
typo_ms,"(1,)",0.5,1.0,False,1.0,dice,4.57,0.73067,0.76278,0.74669,0.73067,0.64979,0.87342,0.87342,0.08734,0.64979
typo_ms,"(1,)",0.5,1.0,True,0.0,dice,4.48,0.77336,0.81768,0.80346,0.77336,0.66245,0.95781,0.95781,0.09578,0.66245
typo_ms,"(1,)",0.5,1.0,True,0.5,dice,4.67,0.89209,0.91282,0.9045,0.89209,0.83544,0.9789,0.9789,0.09789,0.83544
typo_ms,"(1,)",0.5,1.0,True,1.0,dice,4.74,0.92634,0.94272,0.94131,0.92634,0.88186,0.99156,0.99156,0.09916,0.88186
typo_ms,"(1,)",0.5,1.0,True,0.0,geo,4.73,0.76562,0.81086,0.79968,0.76562,0.64979,0.95359,0.95359,0.09536,0.64979
typo_ms,"(1,)",0.5,1.0,True,0.5,geo,4.55,0.89032,0.91035,0.90347,0.89032,0.83544,0.97468,0.97468,0.09747,0.83544
typo_ms,"(1,)",0.5,1.0,True,1.0,geo,4.57,0.92557,0.94199,0.93786,0.92557,0.88186,0.99156,0.99156,0.09916,0.88186
typo_ms,"(1,)",1.0,1.0,False,0.0,dice,4.82,0.3743,0.42216,0.3932,0.3743,0.24895,0.60338,0.60338,0.06034,0.24895
typo_ms,"(1,)",1.0,1.0,False,0.5,dice,4.54,0.59542,0.63071,0.60594,0.59542,0.51055,0.75949,0.75949,0.07595,0.51055
typo_ms,"(1,)",1.0,1.0,False,1.0,dice,4.74,0.64738,0.68054,0.65965,0.64738,0.57384,0.80169,0.80169,0.08017,0.57384
typo_ms,"(1,)",1.0,1.0,True,0.0,dice,4.65,0.6737,0.71478,0.69407,0.6737,0.56118,0.86076,0.86076,0.08608,0.56118
typo_ms,"(1,)",1.0,1.0,True,0.5,dice,4.62,0.7771,0.8118,0.79079,0.7771,0.6962,0.93249,0.93249,0.09325,0.6962
typo_ms,"(1,)",1.0,1.0,True,1.0,dice,4.79,0.83078,0.86513,0.85378,0.83078,0.75949,0.97468,0.97468,0.09747,0.75949
typo_ms,"(1,)",1.0,1.0,True,0.0,geo,4.78,0.68229,0.72389,0.70275,0.68229,0.57384,0.8692,0.8692,0.08692,0.57384
typo_ms,"(1,)",1.0,1.0,True,0.5,geo,5.36,0.78882,0.82328,0.80561,0.78882,0.71308,0.94093,0.94093,0.09409,0.71308
typo_ms,"(1,)",1.0,1.0,True,1.0,geo,5.33,0.84206,0.87276,0.85987,0.84206,0.77637,0.97046,0.97046,0.09705,0.77637
typo_ms,"(1,)",2.0,1.0,False,0.0,dice,6.19,0.32495,0.36493,0.34309,0.32495,0.21519,0.51899,0.51899,0.0519,0.21519
typo_ms,"(1,)",2.0,1.0,False,0.5,dice,6.03,0.53312,0.56163,0.53696,0.53312,0.47257,0.66667,0.66667,0.06667,0.47257
typo_ms,"(1,)",2.0,1.0,False,1.0,dice,5.51,0.56289,0.59221,0.56789,0.56289,0.50633,0.70042,0.70042,0.07004,0.50633
typo_ms,"(1,)",2.0,1.0,True,0.0,dice,5.32,0.53587,0.57431,0.54952,0.53587,0.4557,0.70886,0.70886,0.07089,0.4557
typo_ms,"(1,)",2.0,1.0,True,0.5,dice,5.01,0.63222,0.65478,0.63301,0.63222,0.58228,0.74262,0.74262,0.07426,0.58228
typo_ms,"(1,)",2.0,1.0,True,1.0,dice,5.16,0.66176,0.68586,0.66407,0.66176,0.61181,0.77637,0.77637,0.07764,0.61181
typo_ms,"(1,)",2.0,1.0,True,0.0,geo,5.02,0.5372,0.57515,0.55174,0.5372,0.4557,0.70886,0.70886,0.07089,0.4557
typo_ms,"(1,)",2.0,1.0,True,0.5,geo,5.39,0.63402,0.65708,0.6367,0.63402,0.57806,0.74684,0.74684,0.07468,0.57806
typo_ms,"(1,)",2.0,1.0,True,1.0,geo,4.65,0.66938,0.69439,0.66985,0.66938,0.62025,0.78903,0.78903,0.0789,0.62025
typo_ms,"(1,)",3.0,1.0,False,0.0,dice,4.33,0.31132,0.34948,0.32921,0.31132,0.20675,0.49789,0.49789,0.04979,0.20675
typo_ms,"(1,)",3.0,1.0,False,0.5,dice,4.59,0.49067,0.52751,0.49629,0.49067,0.42194,0.65823,0.65823,0.06582,0.42194
typo_ms,"(1,)",3.0,1.0,False,1.0,dice,5.02,0.51065,0.54856,0.52168,0.51065,0.43882,0.67932,0.67932,0.06793,0.43882
typo_ms,"(1,)",3.0,1.0,True,0.0,dice,4.27,0.48154,0.51916,0.4904,0.48154,0.40084,0.65401,0.65401,0.0654,0.40084
typo_ms,"(1,)",3.0,1.0,True,0.5,dice,4.33,0.57987,0.60735,0.58564,0.57987,0.52743,0.70464,0.70464,0.07046,0.52743
typo_ms,"(1,)",3.0,1.0,True,1.0,dice,4.34,0.60402,0.62965,0.60485,0.60402,0.55696,0.72152,0.72152,0.07215,0.55696
typo_ms,"(1,)",3.0,1.0,True,0.0,geo,4.6,0.48149,0.51803,0.4904,0.48149,0.40084,0.64979,0.64979,0.06498,0.40084
typo_ms,"(1,)",3.0,1.0,True,0.5,geo,4.66,0.5837,0.61126,0.58794,0.5837,0.53165,0.70886,0.70886,0.07089,0.53165
typo_ms,"(1,)",3.0,1.0,True,1.0,geo,4.5,0.61301,0.6377,0.61428,0.61301,0.5654,0.72574,0.72574,0.07257,0.5654
typo_ms,"(1,)",4.0,1.0,False,0.0,dice,5.34,0.30562,0.34451,0.32134,0.30562,0.20675,0.49367,0.49367,0.04937,0.20675
typo_ms,"(1,)",4.0,1.0,False,0.5,dice,5.29,0.46052,0.49866,0.4635,0.46052,0.38819,0.63713,0.63713,0.06371,0.38819
typo_ms,"(1,)",4.0,1.0,False,1.0,dice,4.75,0.45647,0.49892,0.46266,0.45647,0.38397,0.64979,0.64979,0.06498,0.38397
typo_ms,"(1,)",4.0,1.0,True,0.0,dice,4.52,0.44746,0.48365,0.45493,0.44746,0.36709,0.61603,0.61603,0.0616,0.36709
typo_ms,"(1,)",4.0,1.0,True,0.5,dice,4.76,0.53629,0.56391,0.54081,0.53629,0.47679,0.66667,0.66667,0.06667,0.47679
typo_ms,"(1,)",4.0,1.0,True,1.0,dice,4.63,0.56465,0.59116,0.56553,0.56465,0.51477,0.68776,0.68776,0.06878,0.51477
typo_ms,"(1,)",4.0,1.0,True,0.0,geo,5.24,0.44651,0.48189,0.45467,0.44651,0.36709,0.61181,0.61181,0.06118,0.36709
typo_ms,"(1,)",4.0,1.0,True,0.5,geo,4.74,0.54426,0.56996,0.54667,0.54426,0.48945,0.66667,0.66667,0.06667,0.48945
typo_ms,"(1,)",4.0,1.0,True,1.0,geo,5.73,0.56724,0.59064,0.56709,0.56724,0.51899,0.67932,0.67932,0.06793,0.51899
typo_ms,"(2,)",0.0,1.0,False,0.0,dice,0.3,0.82733,0.85265,0.84039,0.82733,0.77215,0.93671,0.93671,0.09367,0.77215
typo_ms,"(2,)",0.0,1.0,False,0.5,dice,0.32,0.87495,0.8937,0.88383,0.87495,0.827,0.95781,0.95781,0.09578,0.827
typo_ms,"(2,)",0.0,1.0,False,1.0,dice,0.29,0.87496,0.8937,0.88383,0.87496,0.827,0.95781,0.95781,0.09578,0.827
typo_ms,"(2,)",0.0,1.0,True,0.0,dice,0.34,0.87063,0.89095,0.88812,0.87063,0.81013,0.95781,0.95781,0.09578,0.81013
typo_ms,"(2,)",0.0,1.0,True,0.5,dice,0.3,0.8812,0.90093,0.89524,0.8812,0.83122,0.96624,0.96624,0.09662,0.83122
typo_ms,"(2,)",0.0,1.0,True,1.0,dice,0.29,0.88374,0.904,0.89709,0.88374,0.83544,0.97046,0.97046,0.09705,0.83544
typo_ms,"(2,)",0.0,1.0,True,0.0,geo,0.31,0.86758,0.88863,0.88579,0.86758,0.80591,0.95781,0.95781,0.09578,0.80591
typo_ms,"(2,)",0.0,1.0,True,0.5,geo,0.33,0.88055,0.90041,0.89495,0.88055,0.83122,0.96624,0.96624,0.09662,0.83122
typo_ms,"(2,)",0.0,1.0,True,1.0,geo,0.31,0.88354,0.90382,0.89709,0.88354,0.83544,0.97046,0.97046,0.09705,0.83544
typo_ms,"(2,)",0.5,1.0,False,0.0,dice,0.29,0.83283,0.85829,0.84834,0.83283,0.77215,0.94093,0.94093,0.09409,0.77215
typo_ms,"(2,)",0.5,1.0,False,0.5,dice,0.32,0.86173,0.88382,0.87386,0.86173,0.80591,0.95359,0.95359,0.09536,0.80591
typo_ms,"(2,)",0.5,1.0,False,1.0,dice,0.29,0.86944,0.89036,0.87756,0.86944,0.81857,0.95781,0.95781,0.09578,0.81857
typo_ms,"(2,)",0.5,1.0,True,0.0,dice,0.26,0.86372,0.88682,0.88131,0.86372,0.80169,0.96203,0.96203,0.0962,0.80169
typo_ms,"(2,)",0.5,1.0,True,0.5,dice,0.3,0.87231,0.89443,0.8892,0.87231,0.81435,0.96624,0.96624,0.09662,0.81435
typo_ms,"(2,)",0.5,1.0,True,1.0,dice,0.26,0.87652,0.89881,0.89216,0.87652,0.81857,0.97046,0.97046,0.09705,0.81857
typo_ms,"(2,)",0.5,1.0,True,0.0,geo,0.29,0.86304,0.88623,0.87949,0.86304,0.80169,0.96203,0.96203,0.0962,0.80169
typo_ms,"(2,)",0.5,1.0,True,0.5,geo,0.3,0.86826,0.89123,0.88316,0.86826,0.81013,0.96624,0.96624,0.09662,0.81013
typo_ms,"(2,)",0.5,1.0,True,1.0,geo,0.3,0.87207,0.89531,0.88738,0.87207,0.81435,0.97046,0.97046,0.09705,0.81435
typo_ms,"(2,)",1.0,1.0,False,0.0,dice,0.25,0.81115,0.84085,0.82972,0.81115,0.7384,0.93671,0.93671,0.09367,0.7384
typo_ms,"(2,)",1.0,1.0,False,0.5,dice,0.22,0.84011,0.86619,0.85387,0.84011,0.77637,0.94937,0.94937,0.09494,0.77637
typo_ms,"(2,)",1.0,1.0,False,1.0,dice,0.24,0.84299,0.8684,0.85738,0.84299,0.77637,0.94937,0.94937,0.09494,0.77637
typo_ms,"(2,)",1.0,1.0,True,0.0,dice,0.28,0.83966,0.8655,0.86139,0.83966,0.76793,0.94937,0.94937,0.09494,0.76793
typo_ms,"(2,)",1.0,1.0,True,0.5,dice,0.25,0.85038,0.87334,0.8691,0.85038,0.78481,0.94937,0.94937,0.09494,0.78481
typo_ms,"(2,)",1.0,1.0,True,1.0,dice,0.26,0.86159,0.88176,0.87902,0.86159,0.80169,0.94937,0.94937,0.09494,0.80169
typo_ms,"(2,)",1.0,1.0,True,0.0,geo,0.28,0.83735,0.86381,0.85821,0.83735,0.76371,0.94937,0.94937,0.09494,0.76371
